;Author;Title;Exist
729;Jean-Luc Ponty;A New Quadratic Algorithm to Convert a Regular Expression into an Automaton.;left_only
730;Dmitry Dementyev;Security of Numerical Sensors in Automata.;both
731;Marion Oswald;Implementation of Catalytic P Systems.;both
732;Satoru Miyamoto;Ternary Directed Acyclic Word Graphs.;both
733;Michael Tautschnig;Short Regular Expressions from Finite Automata: Empirical Results.;both
734;Nils Buhrke;The Automata Theory Package ;left_only
735;Yih-Kuen Tsay;State of Büchi Complementation.;both
736;Yih-Kuen Tsay;Automated Compositional Reasoning of Intuitionistically Closed Regular Properties.;both
737;Roméo Courbis;TAGED Approximations for Temporal Properties Model-Checking.;both
738;Pavel V. Martyugin;Synchronization of Automata with One Undefined or Ambiguous Transition.;left_only
739;Pavel V. Martyugin;Complexity of Problems Concerning Reset Words for Cyclic and Eulerian Automata.;left_only
740;Gertjan van Noord;Finite Automata for Compact Representation of Language Models in NLP.;both
741;Gertjan van Noord;An Extendible Regular Expression Compiler for Finite-State Approaches in Natural Language Processing.;left_only
742;Gertjan van Noord;FSA Utilities: A Toolbox to Manipulate Finite-State Automata.;left_only
743;Bow-Yaw Wang;Automated Compositional Reasoning of Intuitionistically Closed Regular Properties.;both
744;Radu Negulescu;Automata of Asynchronous Behaviors.;left_only
745;Ladislav Vagner;The Constrained Longest Common Subsequence Problem for Degenerate Strings.;both
746;Russell J. Deaton;In Vitro Implementation of Finite-State Machines.;left_only
747;Michael Holtmann;Memory Reduction for Strategies in Infinite Games.;both
748;Claudia Cauli;Equivalence of Probabilistic \mu -Calculus and p-Automata.;left_only
749;Andrzej Pelc;Prime Decompositions of Regular Prefix Codes.;both
750;Robert Ferens;Complexity of Bifix-Free Regular Languages.;both
751;Antonio Cano;Finite Automata and Unions of Regular Patterns with Bounded Constant Segments.;left_only
752;Antonio Cano;Is Learning RFSAs Better Than Learning DFAs?.;left_only
753;Violetta Lonati;Towards More Expressive 2D Deterministic Automata.;both
754;Jan Supol;Significant Subpatterns Matching.;both
