;Author;Title;Exist
1006;Jorge Graña;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;left_only
1007;Jorge Graña;Compilation Methods of Minimal Acyclic Finite-State Automata for Large Dictionaries.;left_only
1008;Christoph Koch;Applications of Automata in XML Processing.;both
1009;Giusi Castiglione;Nondeterministic Moore Automata and Brzozowski's Algorithm.;left_only
1010;Giusi Castiglione;A Challenging Family of Automata for Classical Minimization Algorithms.;both
1011;Giusi Castiglione;On Extremal Cases of Hopcroft's Algorithm.;left_only
1012;Todd Wareham;The Parameterized Complexity of Intersection and Composition Operations on Sets of Finite-State Automata.;both
1013;Jianwen Su;Conversation Protocols: A Formalism for Specification and Verification of Reactive Electronic Services.;both
1014;Jianwen Su;Generalizing the Discrete Timed Automaton.;both
1015;Yuki Nozaki;Enumeration of Cryptarithms Using Deterministic Finite Automata.;both
1016;Shuhei Denzumi;New Algorithms for Manipulating Sequence BDDs.;both
1017;Antonis Achilleos;On the Complexity of Determinizing Monitors.;both
1018;Xiaoyu Song;Universality of Hybrid Quantum Gates and Synthesis Without Ancilla Qudits.;both
1019;Yuta Takahashi;Streaming Ranked-Tree-to-String Transducers.;both
1020;Ömer Egecioglu;Automata-Theoretic Analysis of Bit-Split Languages for Packet Scanning.;both
1021;François Bertault;Visualization of Dynamic Automata Using Padnon.;left_only
1022;Cezar Câmpeanu;Cover Languages and Implementations.;both
1023;Cezar Câmpeanu;An Incremental Algorithm for Constructing Minimal Deterministic Finite Cover Automata.;both
1024;Cezar Câmpeanu;Tight Bounds for NFA to DFCA Transformations for Binary Alphabets.;both
1025;Cezar Câmpeanu;The Number of Similarity Relations and the Number of Minimal Deterministic Finite Cover Automata.;both
1026;Cezar Câmpeanu;Regex and Extended Regex.;both
1027;Cezar Câmpeanu;State Complexity of Basic Operations on Finite Languages.;left_only
1028;Cezar Câmpeanu;Minimal Cover-Automata for Finite Languages.;left_only
1029;João José Neto;Building Context-Sensitive Parsers from CF Grammars with Regular Control Language.;both
1030;João José Neto;Adaptive Automata - A Revisited Proposal.;both
1031;João José Neto;Adaptive Rule-Driven Devices - General Formulation and Case Study.;both
1032;João José Neto;Solving Complex Problems Efficiently with Adaptive Automata.;both
1033;Marzio De Biasi;Unary Languages Recognized by Two-Way One-Counter Automata.;both
1034;Tomasz Jurdzinski;Restricting the Use of Auxiliary Symbols for Restarting Automata.;both
1035;Sandro Pedrazzini;The Finite State Automata's Design Patterns.;left_only
1036;German Tischler;Refinement of Near Random Access Video Coding with Weighted Finite Automata.;both
1037;German Tischler;Parametric Weighted Finite Automata for Figure Drawing.;both
1038;Shinnosuke Seki;A General Architecture of Oritatami Systems for Simulating Arbitrary Finite Automata.;both
1039;Shinnosuke Seki;Towards the Algorithmic Molecular Self-assembly of Fractals by Cotranscriptional Folding.;both
1040;Shinnosuke Seki;The Complexity of Fixed-Height Patterned Tile Self-assembly.;both
1041;Alfons Geser;Finding Finite Automata That Certify Termination of String Rewriting.;both
1042;Louis Latour;Computing Affine Hulls over Q and Z from Sets Represented by Number Decision Diagrams.;both
1043;Louis Latour;Counting the Solutions of Presburger Equations without Enumerating Them.;both
1044;Florent Nicart;Multi-tape Automata with Symbol Classes.;both
1045;Florent Nicart;A Class of Rational ;left_only
1046;Florent Nicart;Computing the Follow Automaton of an Expression.;both
1047;Florent Nicart;WFSC - A New Weighted Finite State Compiler.;both
1048;Florent Nicart;Running Time Complexity of Printing an Acyclic Automaton.;both
1049;Florent Nicart;Finite State Lazy Operations in NLP.;both
1050;Manuel Vilares Ferro;Robust Spelling Correction.;both
1051;Manuel Vilares Ferro;Regional Finite-State Error Repair.;both
1052;Manuel Vilares Ferro;Robust Parsing Using Dynamic Programming.;both
1053;Manuel Vilares Ferro;Tabulation of Bidirectional Push Down Automata.;both
1054;Manuel Vilares Ferro;Searching for Asymptotic Error Repair.;both
1055;Manuel Vilares Ferro;Regional Least-Cost Error Repair.;both
1056;Manuel Vilares Ferro;Construction of Efficient Generalized LR Parsers.;left_only
1057;Mukkai S. Krishnamoorthy;AVA: An Applet for Visualizing FRACTRAN and Other Automata.;both
1058;Sylvie Davies;State Complexity of Reversals of Deterministic Finite Automata with Output.;both
1059;Roderick Bloem;Symbolic Implementation of Alternating Automata.;both
1060;Constantinos Bartzis;Automata-Based Representations for Arithmetic Constraints in Automated Verification.;both
1061;Arnaud Bailly;Component Composition Preserving Behavioural Contracts Based on Communication Traces.;both
1062;José Ruiz;Learning Regular Languages Using Nondeterministic Finite Automata.;both
1063;José Ruiz;A Family of Algorithms for Non Deterministic Regular Languages Inference.;both
1064;José Ruiz;Is Learning RFSAs Better Than Learning DFAs?.;both
1065;Bala Ravikumar;Some Decision Problems Concerning NPDAs, Palindromes, and Dyck Languages.;both
1066;Bala Ravikumar;Weak Minimization of DFA - An Algorithm and Applications.;both
1067;Bala Ravikumar;Implementing Sequential and Parallel Programs for the Homing Sequence Problem.;left_only
1068;Margus Veanes;Applications of Symbolic Finite Automata.;both
1069;Michal Vorácek;The Constrained Longest Common Subsequence Problem for Degenerate Strings.;both
1070;Gordana Pavlovic-Lazetic;Information Extraction from Semi-structured Resources: A Two-Phase Finite State Transducers Approach.;both
1071;Antonio Di Stasio;Solving Parity Games: Explicit vs Symbolic.;both
1072;Antonio Di Stasio;Solving Parity Games Using an Automata-Based Algorithm.;both
1073;Ulrik Terp Rasmussen;Two-Pass Greedy Regular Expression Parsing.;both
1074;Ludwig Staiger;On the Values for Factor Complexity.;both
1075;Ludwig Staiger;Subword Metrics for Infinite Words.;both
1076;Ludwig Staiger;Finite Automata Encoding Geometric Figures.;left_only
1077;Mikel L. Forcada;An Implementation of Deterministic Tree Automata Minimization.;both
1078;Frantisek Mráz;Two-Dimensional Pattern Matching Against Basic Picture Languages.;both
1079;Frantisek Mráz;Lambda-Confluence Is Undecidable for Clearing Restarting Automata.;both
1080;Frantisek Mráz;Comparing Two-Dimensional One-Marker Automata to Sgraffito Automata.;both
1081;Frantisek Mráz;Restarting Tiling Automata.;both
1082;Frantisek Mráz;A Measure for the Degree of Nondeterminism of Context-Free Languages.;both
1083;Frantisek Mráz;Correctness Preservation and Complexity of Simple RL-Automata.;both
1084;Jianlong Tan;Compressing Regular Expressions' DFA Table by Matrix Decomposition.;left_only
1085;Jianlong Tan;A Table Compression Method for Extended Aho-Corasick Automaton.;both
1086;Are Uppman;Autographe: A Graphical Version of Automate.;left_only
1087;Kai Salomaa;Degrees of Restriction for Two-Dimensional Automata.;both
1088;Kai Salomaa;Decision Problems for Restricted Variants of Two-Dimensional Automata.;both
1089;Kai Salomaa;State Complexity of Prefix Distance.;both
1090;Kai Salomaa;Approximate Matching between a Context-Free Grammar and a Finite-State Automaton.;both
1091;Kai Salomaa;In Memoriam Sheng Yu.;both
1092;Kai Salomaa;A Cellular Automaton Model for Car Traffic with a Slow-to-Stop Rule.;both
1093;Kai Salomaa;Language Decompositions, Primality, and Trajectory-Based Operations.;both
1094;Kai Salomaa;Deterministic Caterpillar Expressions.;both
1095;Kai Salomaa;Regex and Extended Regex.;both
1096;Kai Salomaa;Metric Lexical Analysis.;left_only
1097;Kai Salomaa;State Complexity of Basic Operations on Finite Languages.;left_only
1098;Kai Salomaa;Implementing Reversed Alternating Finite Automaton (r-AFA) Operations.;left_only
1099;Kai Salomaa;Efficient Implementation of Regular Languages Using R-AFA.;left_only
1100;Kai Salomaa;NFA to DFA Transformation for Finite Languages.;left_only
1101;Peter Mlynárcik;Nondeterministic Complexity of Operations on Free and Convex Languages.;both
1102;Peter Mlynárcik;Nondeterministic Complexity of Operations on Closed and Ideal Languages.;both
1103;Lauri Karttunen;Applications of Finite-State Transducers in Natural Language Processing.;both
1104;Tomohiro I;Compressed Automata for Dictionary Matching.;both
1105;Matthew Drotar;Does Hausdorff Dimension Measure Texture Complexity?.;both
1106;Brigitte Le Pévédic;The Syntactic Prediction with Token Automata: Application to HandiAS System.;left_only
1107;Jibran Rashid;Implications of Quantum Automata for Contextuality.;both
1108;Raphael Poss;Introducing VAUCANSON.;left_only
1109;Karen Rudie;A Summary of Some Discrete-Event System Control Problems.;both
1110;Anders Møller;Analyzing Ambiguity of Context-Free Grammars.;both
1111;Anders Møller;MONA Implementation Secrets.;both
1112;Barbara Jobstmann;On the Hardness of Priority Synthesis.;both
1113;Benoît Razet;Finite Eilenberg Machines.;both
1114;Takuya Nishiyama;A Translation from the HTML DTD into a Regular Hedge Grammar.;both
1115;Javier Esparza;Back to the Future: A Fresh Look at Linear Temporal Logic.;both
1116;Javier Esparza;FPsolve: A Generic Solver for Fixpoint Equations over Semirings.;both
1117;Joshua Young;Regular Expressions and Transducers over Alphabet-Invariant and User-Defined Labels.;both
1118;Nicolas Gama;Compact Normal Form for Regular Languages as Xor Automata.;both
1119;John Wittnebel;Syntactic Complexity of Bifix-Free Languages.;both
1120;Barbara Schubert;How to Use Sorting Procedures to Minimize DFA.;left_only
1121;Andrei Paun;Hopcroft's Minimization Technique: Queues or Stacks?.;left_only
1122;Andrei Paun;An Incremental Algorithm for Constructing Minimal Deterministic Finite Cover Automata.;both
1123;Andrei Paun;Tight Bounds for NFA to DFCA Transformations for Binary Alphabets.;both
1124;Andrei Paun;The Number of Similarity Relations and the Number of Minimal Deterministic Finite Cover Automata.;both
1125;Andrei Paun;An O(n;left_only
1126;Guowu Yang;Universality of Hybrid Quantum Gates and Synthesis Without Ancilla Qudits.;both
1127;Torsten Weller;Visual Exploration of Generation Algorithms for Finite Automata on the Web.;both
1128;Matthieu Constant;A Finite-State Super-Chunker.;both
1129;Matthieu Constant;Compiling Linguistic Constraints into Finite State Automata.;both
1130;Mohamed Zergaoui;Early Nested Word Automata for XPath Query Answering on XML Streams.;both
1131;Supaporn Chairungsee;Building Phylogeny with Minimal Absent Words.;both
1132;Keisuke Nakano;Streaming Ranked-Tree-to-String Transducers.;both
1133;Maria Paola Bianchi;On the Power of One-Way Automata with Quantum and Classical States.;both
1134;Friedrich Otto;Weighted Restarting Automata as Language Acceptors.;both
1135;Friedrich Otto;Restarting Automata for Picture Languages: A Survey on Recent Developments.;both
1136;Friedrich Otto;Lambda-Confluence Is Undecidable for Clearing Restarting Automata.;both
1137;Friedrich Otto;Comparing Two-Dimensional One-Marker Automata to Sgraffito Automata.;both
1138;Friedrich Otto;On the Descriptional Complexity of the Window Size for Deterministic Restarting Automata.;both
1139;Friedrich Otto;Transductions Computed by PC-Systems of Monotone Deterministic Restarting Automata.;both
1140;Friedrich Otto;A Measure for the Degree of Nondeterminism of Context-Free Languages.;both
1141;Friedrich Otto;Correctness Preservation and Complexity of Simple RL-Automata.;both
1142;Friedrich Otto;Restricting the Use of Auxiliary Symbols for Restarting Automata.;both
1143;Shubh Narayan Singh;On Syntactic Complexity of Circular Semi-flower Automata.;both
1144;Hyeonseung Im;Efficient Enumeration of Regular Expressions for Faster Regular Expression Synthesis.;both
1145;Jean Berstel;On the Complexity of Hopcroft's State Minimization Algorithm.;left_only
1146;Michael Domaratzki;Pairwise Rational Kernels Obtained by Automaton Operations.;both
1147;Michal Hospodár;Descriptional Complexity of Power and Positive Closure on Convex Languages.;both
1148;Michal Hospodár;The Ranges of Accepting State Complexities of Languages Resulting From Some Operations.;both
1149;Michal Hospodár;Nondeterministic Complexity of Operations on Free and Convex Languages.;both
1150;Michal Hospodár;Nondeterministic Complexity of Operations on Closed and Ideal Languages.;both
1151;Vikas Aggarwal;A Package for the Implementation of Block Codes as Finite Automata.;both
1152;Yonghua Han;An Automata Approach to Match Gapped Sequence Tags Against Protein Database.;both
1153;Patrick Hütten;Symbolic Synthesis of Finite-State Controllers for Request-Response Specifications.;both
1154;H. F. Ting;Time and Space Efficient Algorithms for Constrained Sequence Alignment.;left_only
1155;Laurent Noé;Subset Seed Automaton.;both
1156;Dora Giammarresi;Tiling Automaton: A Computational Model for Recognizable Two-Dimensional Languages.;both
1157;Dora Giammarresi;Finite Automata and Non-self-Embedding Grammars.;both
1158;Dora Giammarresi;Thompson Digraphs: A Characterization.;left_only
1159;Dora Giammarresi;Extended Context-Free Grammars and Normal Form Algorithms.;left_only
1160;Ayon Sen;On Palindromic Sequence Automata and Applications.;both
1161;Adam Rogalewicz;Automata-Based Termination Proofs.;both
1162;Alexandre Duret-Lutz;A Type System for Weighted Automata and Rational Expressions.;both
1163;Alexandre Duret-Lutz;Implementation Concepts in Vaucanson 2.;both
1164;Ivana Krajnáková;On the Square of Regular Languages.;both
1165;Andreas Malcher;Input-Driven Multi-counter Automata.;both
1166;Andreas Malcher;Boosting Pushdown and Queue Machines by Preprocessing.;both
1167;Andreas Malcher;Transducing Reversibly with Finite State Machines.;both
1168;Andreas Malcher;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;both
1169;Andreas Malcher;Two-Party Watson-Crick Computations.;both
1170;Andreas Malcher;Cellular Automata with Sparse Communication.;both
1171;Andreas Malcher;Regulated Nondeterminism in Pushdown Automata.;both
1172;Matthieu Picantin;A New Hierarchy for Automaton Semigroups.;both
1173;Matthieu Picantin;Implementing Computations in Automaton (Semi)groups.;both
1174;Pawel Baturo;The Number of Runs in Sturmian Words.;both
1175;Elena V. Pribavkina;Reset Thresholds of Automata with Two Cycle Lengths.;both
1176;Yuan Gao;In Memoriam Sheng Yu.;both
1177;Yuan Gao;State Complexity of Catenation Combined with Union and Intersection.;both
1178;Geng-Dian Hwang;TCTL Inevitability Analysis of Dense-Time Systems.;both
1179;Kristína Cevorová;On the Square of Regular Languages.;both
1180;Ingo Pill;Symbolic Implementation of Alternating Automata.;both
1181;Evgeny Tipikin;Experimental Study of the Shortest Reset Word of Random Automata.;both
1182;Gloria Andrade;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;both
1183;Frank Olivier;The MERLin Environment Applied to *-NFAs.;both
1184;Juan Otero;Robust Spelling Correction.;left_only
1185;Juan Otero;Regional Finite-State Error Repair.;left_only
1186;Mirian Halfeld Ferrari Alves;Weak Inclusion for XML Types.;both
1187;Erez Buchnik;Bouma2 - A High-Performance Input-Aware Multiple String-Match Algorithm.;both
1188;Rafael C. Carrasco;An Implementation of Deterministic Tree Automata Minimization.;both
1189;Shunsuke Inenaga;Compressed Automata for Dictionary Matching.;both
1190;Shunsuke Inenaga;Ternary Directed Acyclic Word Graphs.;both
1191;Borivoj Melichar;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.;both
1192;Borivoj Melichar;Finite Automata for Generalized Approach to Backward Pattern Matching.;both
1193;Borivoj Melichar;A Note on a Tree-Based 2D Indexing.;both
1194;Borivoj Melichar;Pattern Matching in DCA Coded Text.;both
1195;Borivoj Melichar;Approximate Periods with Levenshtein Distance.;both
1196;Borivoj Melichar;Borders and Finite Automata.;both
1197;Borivoj Melichar;Finding Common Motifs with Gaps Using Finite Automata.;both
1198;Borivoj Melichar;On Two-Dimensional Pattern Matching by Finite Automata.;both
1199;Borivoj Melichar;Two-Dimensional Pattern Matching by Two-Dimensional Online Tessellation Automata.;both
1200;Borivoj Melichar;The Longest Common Subsequence Problem A Finite Automata Approach.;both
1201;Borivoj Melichar;Deterministic Parsing of Cyclic Strings.;both
1202;Borivoj Melichar;On the Size of Deterministic Finite Automata.;both
1203;Borivoj Melichar;Implementation of Nondeterministic Finite Automata for Approximate Pattern Matching.;left_only
1204;Bo Cui;State Complexity of Catenation Combined with Union and Intersection.;both
1205;Dietrich Kuske;Branching Automata with Costs - A Way of Reflecting Parallelism in Costs.;both
1206;Romuald Boné;Time Series Forecasting by Finite-State Automata.;left_only
1207;John A. Rose;In Vitro Implementation of Finite-State Machines.;left_only
1208;Seth Fogarty;State of Büchi Complementation.;both
1209;Milos Pajic;Information Extraction from Semi-structured Resources: A Two-Phase Finite State Transducers Approach.;both
1210;Václav Snásel;Word Random Access Compression.;both
1211;Ian Douglas Sanders;Introducing Code Adviser: A DFA-driven Electronic Programming Tutor.;both
1212;Guillaume Bonfante;Lexical Disambiguation with Polarities and Automata.;both
1213;Marcus Nilsson;Minimization of Non-deterministic Automata with Large Alphabets.;both
1214;John Lawrence;State Complexity and the Monoid of Transformations of a Finite Set.;both
1215;Gregor von Bochmann;Submodule Construction and Supervisory Control: A Generalization.;both
1216;Ian McQuillan;Semilinearity of Families of Languages.;both
1217;Ian McQuillan;On Bounded Semilinear Languages, Counter Machines, and Finite-Index ET0L.;both
1218;Ian McQuillan;On Comparing Deterministic Finite Automata and the Shuffle of Words.;both
1219;Ian McQuillan;Viral Gene Compression: Complexity and Verification.;both
1220;Ian McQuillan;Bag Automata and Stochastic Retrieval of Biomolecules in Solution.;both
1221;Markus L. Schmid;Jumping Finite Automata: Characterizations and Complexity.;both
1222;Markus L. Schmid;Automata with Modulo Counters and Nondeterministic Counter Bounds.;both
1223;Markus L. Schmid;A Polynomial Time Match Test for Large Classes of Extended Regular Expressions.;both
1224;Marco Roveri;From Sequential Extended Regular Expressions to NFA with Symbolic Labels.;both
1225;Marco Roveri;Symbolic Implementation of Alternating Automata.;both
1226;Susan H. Rodger;Integrating Hands-on Work into the Formal Languages Course via Tools and Programming.;left_only
1227;Jan Procházka;Compiler Generator Based on Restarting Automata.;both
1228;David Cabrero Souto;Construction of Efficient Generalized LR Parsers.;left_only
1229;José Nuno Oliveira;Typed Linear Algebra for Weigthed (Probabilistic) Automata.;left_only
1230;Gianluca Mezzetti;Towards Nominal Context-Free Model-Checking.;both
1231;Gianluca Mezzetti;Nominal Automata for Resource Usage Control.;both
1232;Marek Szykula;State Complexity of Overlap Assembly.;both
1233;Marek Szykula;Complexity of Bifix-Free Regular Languages.;both
1234;Marek Szykula;Syntactic Complexity of Bifix-Free Languages.;both
1235;Marek Szykula;Experiments with Synchronizing Automata.;both
1236;Marek Szykula;On the Number of Synchronizing Colorings of Digraphs.;both
1237;Marek Szykula;Checking Whether an Automaton Is Monotonic Is NP-complete.;both
1238;Marek Szykula;Large Aperiodic Semigroups.;both
1239;Marek Szykula;Generating Small Automata and the Černý Conjecture.;both
1240;Rimma I. Podlovchenko;On the Equivalence Problem for Programs with Mode Switching.;both
1241;Marco Almeida;Incremental DFA Minimisation.;both
1242;Marco Almeida;FAdo and GUItar.;both
1243;Marco Almeida;Antimirov and Mosses's Rewrite System Revisited.;left_only
1244;Darrell R. Raymond;WIA and the Practice of Theory in Computer Science.;left_only
1245;Philippe Veber;Path-Equivalent Removals of ;left_only
1246;Alois C. Knoll;On the Hardness of Priority Synthesis.;both
1247;Peter Habermehl;Antichain-Based Universality and Inclusion Testing over Nondeterministic Finite Tree Automata.;both
1248;Artur Jez;Hyper-minimization for Deterministic Tree Automata.;both
1249;Artur Jez;Computing All ℓ-Cover Automata Fast.;both
1250;Andrzej Kisielewicz;Experiments with Synchronizing Automata.;both
1251;Andrzej Kisielewicz;Generating Small Automata and the Černý Conjecture.;both
1252;Hanlin Lu;Are Statecharts Finite Automata?;both
1253;Olga Kouchnarenko;Enhancing Approximations for Regular Reachability Analysis.;both
1254;Olga Kouchnarenko;On Positive TAGED with a Bounded Number of Constraints.;both
1255;Olga Kouchnarenko;Loops and Overloops for Tree Walking Automata.;both
1256;Olga Kouchnarenko;TAGED Approximations for Temporal Properties Model-Checking.;both
1257;Maxux J. Aranzabe;Using Finite State Technology in Natural Language Processing of Basque.;left_only
1258;Hellis Tamm;Size Reduction of Multitape Automata.;both
1259;Hellis Tamm;Size Reduction of Multitape Automata.;both
1260;Hellis Tamm;Size Reduction of Multitape Automata.;both
1261;Hellis Tamm;Size Reduction of Multitape Automata.;both
1262;Hellis Tamm;Bideterministic Automata and Minimal Representations of Regular Languages.;both
1263;Jonathan Lee;Enumerating Regular Expressions and Their Languages.;left_only
1264;Marco Cognetta;Online Stochastic Pattern Matching.;both
1265;Alfonso Rodríguez-Patón;Hopcroft's Minimization Technique: Queues or Stacks?.;left_only
1266;Bakhadyr Khoussainov;Decision Problems for Finite Automata over Infinite Algebraic Structures.;both
1267;Satoshi Okui;Disambiguation in Regular Expression Matching via Position Automata with Augmented Transitions.;both
1268;Satoshi Okui;Hedge Pattern Partial Derivative.;both
1269;Jérôme Amilhastre;FA Minimisation Heuristics for a Class of Finite Languages.;left_only
1270;Dominique Revuz;Operations on Extended Automata.;left_only
1271;George Anton Kiraz;Compressed Storage of Sparse Finite-State Transducers.;left_only
1272;George Anton Kiraz;Multi-tape Automata for Speech and Language Systems: A Prolog Implementation.;left_only
1273;Adrian D. Thurston;Parsing Computer Languages with an Automaton Compiled from a Single Regular Expression.;both
1274;Eva Maia;Partial Derivative and Position Bisimilarity Automata.;both
1275;Eva Maia;Incomplete Transition Complexity of Basic Operations on Finite Languages.;both
1276;Joseph Le Roux;Lexical Disambiguation with Polarities and Automata.;both
1277;Hwee Kim;A General Architecture of Oritatami Systems for Simulating Arbitrary Finite Automata.;both
1278;José M. Castaño;Variable and Clause Ordering in an FSA Approach to Propositional Satisfiability.;both
1279;José M. Castaño;LR Parsing for Global Index Languages (GILs).;both
1280;Heiko Goeman;On Parsing and Condensing Substrings of LR Languages in Linear Time.;left_only
1281;Kira Goldner;Minimal Partial Languages and Automata.;both
1282;Damien Pous;CoInductive Automata Algorithms.;both
1283;José Bacelar Almeida;Partial Derivative Automata Formalized in Coq.;both
1284;Hariharan Subramanian;Compressing XML Documents Using Recursive Finite State Automata.;both
1285;Alexander Sakharov;One-Counter Automata for Parsing and Language Approximation.;both
1286;Li Guo;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.;both
1287;Li Guo;Compressing Regular Expressions' DFA Table by Matrix Decomposition.;left_only
1288;Gheorghe Paun;Spiking Neural P Systems Used as Acceptors and Transducers.;both
1289;Gheorghe Paun;Multiset Processing by Means of Systems of Finite State Transducers.;left_only
1290;Suman Roy;A Finite Union of DFAs in Symbolic Model Checking of Infinite Systems.;both
1291;Timothy Sherwood;Automata-Theoretic Analysis of Bit-Split Languages for Packet Scanning.;both
1292;Benedikt Bollig;Automata and Logics for Concurrent Systems: Five Models in Five Pages.;both
1293;Pedro García;Learning Regular Languages Using Nondeterministic Finite Automata.;both
1294;Pedro García;A Family of Algorithms for Non Deterministic Regular Languages Inference.;both
1295;Pedro García;Finite Automata and Unions of Regular Patterns with Bounded Constant Segments.;both
1296;Pedro García;Is Learning RFSAs Better Than Learning DFAs?.;both
1297;Zeki Bayram;XSLT Version 2.0 Is Turing-Complete: A Purely Transformation Based Proof.;both
1298;Manuel Vazquez de Parga;Learning Regular Languages Using Nondeterministic Finite Automata.;both
1299;Manuel Vazquez de Parga;A Family of Algorithms for Non Deterministic Regular Languages Inference.;both
1300;Brent Heeringa;Approximating Minimum Reset Sequences.;both
1301;Stefano Varricchio;Finite Automata and Non-self-Embedding Grammars.;both
1302;Mihaela Paun;Hopcroft's Minimization Technique: Queues or Stacks?.;left_only
1303;Christiane Frougny;On Lazy Representations and Sturmian Graphs.;both
1304;Maximilian Schlund;FPsolve: A Generic Solver for Fixpoint Equations over Semirings.;both
1305;Louis-Noël Pouchet;Inside Vaucanson.;both
1306;Nicolaas Weideman;On the Semantics of Atomic Subgroups in Practical Regular Expressions.;both
1307;Nicolaas Weideman;Analyzing Matching Time Behavior of Backtracking Regular Expression Matchers by Using Ambiguity of NFA.;both
1308;Georg Lojka;Implementation of Catalytic P Systems.;both
1309;Pierre-Yves Schobbens;Distributed Event Clock Automata - Extended Abstract.;both
1310;Kanduru V. Krishna;On Syntactic Complexity of Circular Semi-flower Automata.;both
1311;Tsai-Cheng Wang;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.;both
1312;Vincent Le Maout;Regular Expressions at Their Best: A Case for Rational Design.;both
1313;Vincent Le Maout;Cursors.;both
1314;Vincent Le Maout;Tools to Implement Automata, a First Step: ASTL.;left_only
1315;Tamás Gaál;Multi-tape Automata with Symbol Classes.;both
1316;Tamás Gaál;WFSC - A New Weighted Finite State Compiler.;both
1317;Tamás Gaál;Is this Finite-State Transducer Sequentiable?;both
1318;Tamás Gaál;Extended Sequentialization of Transducers.;both
1319;Olivier Rousseau;The Syntactic Prediction with Token Automata: Application to HandiAS System.;left_only
1320;Yung-Pin Cheng;On-the-Fly Branching Bisimulation Minimization for Compositional Analysis.;both
1321;Mark G. Eramian;Does Hausdorff Dimension Measure Texture Complexity?.;both
1322;Mark G. Eramian;Bag Automata and Stochastic Retrieval of Biomolecules in Solution.;both
1323;Mark G. Eramian;Computing Entropy Maps of Finite-Automaton-Encoded Binary Images.;left_only
1324;Éric Laugerotte;Computing Weights.;both
1325;Éric Laugerotte;From Regular Weighted Expressions to Finite Automata.;both
1326;Éric Laugerotte;SEA: A Symbolic Environment for Automata Theory.;left_only
1327;Éric Laugerotte;Operations over Automata with Multiplicities.;left_only
1328;Matthias Wendlandt;Input-Driven Multi-counter Automata.;both
1329;Matthias Wendlandt;Boosting Pushdown and Queue Machines by Preprocessing.;both
1330;Matthias Wendlandt;Parametrizing String Assembling Systems.;both
1331;Matthias Wendlandt;Transducing Reversibly with Finite State Machines.;both
1332;Matthias Wendlandt;Expressive Capacity of Concatenation Freeness.;both
1333;Matthias Wendlandt;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;both
1334;Hsu-Chun Yen;Concurrency, Synchronization, and Conflicts in Petri Nets.;both
1335;Hsu-Chun Yen;On Deterministic Catalytic Systems.;both
1336;Hsu-Chun Yen;Timing Parameter Characterization of Real-Time Systems.;both
1337;Joni Burnette Pirnot;Finite State Automata Representing Two-Dimensional Subshifts.;both
1338;Philippe Janssen;FA Minimisation Heuristics for a Class of Finite Languages.;left_only
1339;Diptarama Hendrian;Enumeration of Cryptarithms Using Deterministic Finite Automata.;left_only
1340;James Jerson Ortiz;Distributed Event Clock Automata - Extended Abstract.;both
1341;Johannes Osterholzer;Pushdown Machines for Weighted Context-Free Tree Translation.;both
1342;Farn Wang;Timing Parameter Characterization of Real-Time Systems.;both
1343;Farn Wang;TCTL Inevitability Analysis of Dense-Time Systems.;both
1344;Abhijin Adiga;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.;both
1345;Mikhail V. Volkov;P(l)aying for Synchronization.;both
1346;Mikhail V. Volkov;Synchronizing Automata Preserving a Chain of Partial Orders.;both
1347;Stanislav Stekr;On Parallel Implementations of Deterministic Finite Automata.;both
1348;Daniel Reidenbach;Automata with Modulo Counters and Nondeterministic Counter Bounds.;both
1349;Daniel Reidenbach;A Polynomial Time Match Test for Large Classes of Extended Regular Expressions.;both
1350;Luiza de Macedo Mourelle;Minimal Adaptive Pattern-Matching Automata for Efficient Term Rewriting.;both
1351;Heiko Körner;On Minimizing Cover Automata for Finite Languages in O(n log n) Time.;both
1352;Vincent Carnino;Random Generation of Deterministic Acyclic Automata Using Markov Chains.;both
1353;Khaled El-Fakih;Preset and Adaptive Homing Experiments for Nondeterministic Finite State Machines.;both
1354;Khaled El-Fakih;Progressive Solutions to FSM Equations.;both
1355;Dawid Weiss;Smaller Representation of Finite State Automata.;both
1356;Ashish Rastogi;On the Computation of Some Standard Distances Between Probabilistic Automata.;both
1357;Tomás Vojnar;Antichain-Based Universality and Inclusion Testing over Nondeterministic Finite Tree Automata.;both
1358;Tomás Vojnar;Composed Bisimulation for Tree Automata.;both
1359;Corwin Sinnamon;Complexity of Proper Suffix-Convex Regular Languages.;both
1360;Corwin Sinnamon;Complexity of Proper Prefix-Convex Regular Languages.;both
1361;Fernando C. N. Pereira;A Rational Design for a Weighted Finite-State Transducer Library.;left_only
1362;Nadia Nedjah;Minimal Adaptive Pattern-Matching Automata for Efficient Term Rewriting.;both
1363;Birzhan Moldagaliyev;On the Values for Factor Complexity.;both
1364;James Glenn;Implementing WS1S via Finite Automata: Performance Issues.;left_only
1365;James Glenn;Implementing WS1S via Finite Automata.;left_only
