;Author;Title
8460;Marianne Flouret;Star Normal Form, Rational Expressions, and Glushkov WFAs Properties.
8461;Marianne Flouret;Glushkov Construction for Multiplicities.
8464;Kanduru V. Krishna;On Syntactic Complexity of Circular Semi-flower Automata.
8467;Rogério Reis;Manipulation of Regular Expressions Using Derivatives: An Overview.
8472;Rogério Reis;Partial Derivatives of Regular Expressions over Alphabet-Invariant and User-Defined Labels.
8475;Rogério Reis;Regular Expressions and Transducers over Alphabet-Invariant and User-Defined Labels.
8483;Rogério Reis;Implementation of Code Properties via Transducers.
8492;Rogério Reis;Counting Equivalent Linear Finite Transducers Using a Canonical Form.
8493;Rogério Reis;Partial Derivative and Position Bisimilarity Automata.
8497;Rogério Reis;Incomplete Transition Complexity of Basic Operations on Finite Languages.
8501;Rogério Reis;Incremental DFA Minimisation.
8503;Rogério Reis;FAdo and GUItar.
8506;Rogério Reis;Antimirov and Mosses\'s Rewrite System Revisited.
8511;Rogério Reis;Acyclic Automata with Easy-to-Find Short Regular Expressions.
8518;Bala Ravikumar;Some Decision Problems Concerning NPDAs, Palindromes, and Dyck Languages.
8524;Bala Ravikumar;Weak Minimization of DFA - An Algorithm and Applications.
8540;Satoru Miyamoto;Ternary Directed Acyclic Word Graphs.
8542;Madlen Kimmritz;Persistent Computations of Turing Machines.
8979;Václav Snásel;Word Random Access Compression.
8997;Nerea Ezeiza;Using Finite State Technology in Natural Language Processing of Basque.
9003;Nevzat Ersoy;Real-Time, Constant-Space, Constant-Randomness Verifiers.
9016;Norbert Hundeshagen;Transductions Computed by PC-Systems of Monotone Deterministic Restarting Automata.
9027;Jan Zdárek;A Note on a Tree-Based 2D Indexing.
9028;Jan Zdárek;Pattern Matching in DCA Coded Text.
9029;Jan Zdárek;On Two-Dimensional Pattern Matching by Finite Automata.
9032;Miguel Ferreira;Deciding Synchronous Kleene Algebra with Derivatives.
9076;Petr Sosík;Substitutions, Trajectories and Noisy Channels.
9088;Géraud Sénizergues;LALBLC A Program Testing the Equivalence of dpda\'s.
9147;Michael Tautschnig;Short Regular Expressions from Finite Automata: Empirical Results.
9157;Frédéric Piat;Learning Stochastic Finite Automata for Musical Style Recognition.
9180;Olga Kouchnarenko;Enhancing Approximations for Regular Reachability Analysis.
9184;Olga Kouchnarenko;On Positive TAGED with a Bounded Number of Constraints.
9187;Olga Kouchnarenko;Loops and Overloops for Tree Walking Automata.
9193;Olga Kouchnarenko;TAGED Approximations for Temporal Properties Model-Checking.
9249;Mohammad Sohel Rahman;On Palindromic Sequence Automata and Applications.
9275;Mohammad Sohel Rahman;The Constrained Longest Common Subsequence Problem for Degenerate Strings.
9364;Georgios Ch. Sirakoulis;Cellular Automata for Crowd Dynamics.
9417;Kazuo Iwama;Quantum Queries on Permutations with a Promise.
9515;Jibran Rashid;Implications of Quantum Automata for Contextuality.
9516;João Pires 0002;Partial Derivatives of Regular Expressions over Alphabet-Invariant and User-Defined Labels.
9518;Markus Holzer;On 25 Years of CIAA Through the Lens of Data Science.
9526;Markus Holzer;The Range of State Complexities of Languages Resulting from the Cascade Product - The Unary Case (Extended Abstract).
9532;Markus Holzer;Semi-linear Lattices and Right One-Way Jumping Finite Automata (Extended Abstract).
9540;Markus Holzer;The Ranges of Accepting State Complexities of Languages Resulting From Some Operations.
9548;Markus Holzer;On the Number of Active States in Deterministic and Nondeterministic Finite Automata.
9553;Markus Holzer;The Degree of Irreversibility in Deterministic Finite Automata.
9558;Markus Holzer;More on Deterministic and Nondeterministic Finite Cover Automata - Extended Abstract.
9568;Markus Holzer;Brzozowski\'s Minimization Algorithm - More Robust than Expected - (Extended Abstract).
9582;Markus Holzer;Gaining Power by Input Operations: Finite Automata and Beyond.
9583;Markus Holzer;Nondeterministic State Complexity of Star-Free Languages.
9594;Markus Holzer;An nlogn Algorithm for Hyper-minimizing States in a (Minimized) Deterministic Automaton.
9595;Markus Holzer;Short Regular Expressions from Finite Automata: Empirical Results.
9603;Markus Holzer;Nondeterministic Finite Automata-Recent Results on the Descriptional and Computational Complexity.
9616;Markus Holzer;Hybrid Extended Finite Automata.
9626;Markus Holzer;Some Non-semi-decidability Problems for Linear and Deterministic Context-Free Languages.
9635;Markus Holzer;State Complexity of Basic Operations on Nondeterministic Finite Automata.
9639;Markus Holzer;Improving Raster Image Run-Length Encoding Using Data Order.
9669;Indhumathi Raman;Computational Completeness of Path-Structured Graph-Controlled Insertion-Deletion Systems.
9695;Rusins Freivalds;Quantum Queries on Permutations with a Promise.
9696;Rusins Freivalds;Amount of Nonconstructivity in Finite Automata.
9710;Rusins Freivalds;Languages Recognizable by Quantum Finite Automata.
9839;Masayuki Takeda;Compressed Automata for Dictionary Matching.
9868;Masayuki Takeda;A Run-Time Efficient Implementation of Compressed Pattern Matching Automata.
9896;Masayuki Takeda;Ternary Directed Acyclic Word Graphs.
9931;Stoyan Mihov;Algorithms for Probabilistic and Stochastic Subsequential Failure Transducers.
9935;Stoyan Mihov;A Simple Method for Building Bimachines from Functional Finite-State Transducers.
9951;Stoyan Mihov;Direct Construction of Minimal Acyclic Subsequential Transducers.
9952;Larissa Werlein;Regulated Nondeterminism in Pushdown Automata.
9955;Kazuhito Hagio;A Run-Time Efficient Implementation of Compressed Pattern Matching Automata.
9966;Robert Kelly;Computational Linguistic Motivations for a Finite-State Machine Hierarchy.
9971;Benoît Razet;Finite Eilenberg Machines.
9995;Sylvie Hamel;Cascade Decompositions are Bit-Vector Algorithms.
9996;Sylvie Hamel;Fast Implementations of Automata Computations.
9998;Adam Clarridge;A Cellular Automaton Model for Car Traffic with a Slow-to-Stop Rule.
10019;Jesús Vilares;Robust Spelling Correction.
10028;Jesús Vilares;Robust Parsing Using Dynamic Programming.
10036;Jesús Vilares;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.
10047;Stefano Crespi-Reghizzi;A Benchmark Production Tool for Regular Expressions.
10052;Stefano Crespi-Reghizzi;From Ambiguous Regular Expressions to Deterministic Parsing Automata.
10053;Stefano Crespi-Reghizzi;BSP: A Parsing Tool for Ambiguous Regular Expressions.
10058;Stefano Crespi-Reghizzi;Deterministic Counter Machines and Parallel Matching Computations.
10061;Stefano Crespi-Reghizzi;Strict Local Testability with Consensus Equals Regularity.
10118;Michael Riley;Algorithms for Weighted Finite Automata with Failure Transitions.
10126;Michael Riley;On the Disambiguation of Weighted Automata.
10134;Michael Riley;A Pushdown Transducer Extension for the OpenFst Library.
10139;Michael Riley;Filters for Efficient Composition of Weighted Finite-State Transducers.
10145;Michael Riley;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.
10186;Stefano Varricchio;Finite Automata and Non-self-Embedding Grammars.
10229;Eric Balkanski;Partial Word DFAs.
10258;Abhijin Adiga;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.
10288;Tomás Masopust;On the State and Computational Complexity of the Reverse of Acyclic Minimal DFAs.
10377;Mikhail V. Berlinkov;Synchronizing Random Almost-Group Automata.
10381;Mikhail V. Berlinkov;Synchronizing Automata on Quasi-Eulerian Digraph.
10428;Claire Pagetti;Around Hopcroft\'s Algorithm.
10494;Masami Hagiya;XML Schema Containment Checking Based on Semi-implicit Techniques.
10563;Mihalis Yannakakis;Automata, Probability, and Recursion.
10673;José Morais;Approximation to the Smallest Regular Expression for a Given Regular Language.
10685;Kazuhiro Inaba;Compact Representation for Answer Sets of n-ary Regular Queries.
10688;Kazuhiro Inaba;Multi-Return Macro Tree Transducers.
10744;Isabelle Tellier;Automata and AB-Categorial Grammars.
10751;Jozef Jirásek;The Exact Complexity of Star-Complement-Star.
10755;Jozef Jirásek;On the Boundary of Regular Languages.
10758;Jozef Jirásek;State Complexity of Concatenation and Complementation of Regular Languages.
10759;A. C. Cem Say;Energy Complexity of Regular Language Recognition.
10760;A. C. Cem Say;Real-Time, Constant-Space, Constant-Randomness Verifiers.
10789;Kimmo Koskenniemi;A New Method for Compiling Parallel Replacement Rules.
10889;Roderick Bloem;Symbolic Implementation of Alternating Automata.
10924;Marion Oswald;Implementation of Catalytic P Systems.
10942;Lakshmanan Kuppusamy;Computational Completeness of Path-Structured Graph-Controlled Insertion-Deletion Systems.
10964;Constantinos Bartzis;Automata-Based Representations for Arithmetic Constraints in Automated Verification.
10972;Andrzej Ehrenfeucht;A Formal Framework for Processes Inspired by the Functioning of Living Cells.
11018;William J. Hutton III;Security of Numerical Sensors in Automata.
11022;Christos A. Kapoutsis;A Logical Characterization of Small 2NFAs.
11040;Ian Douglas Sanders;Introducing Code Adviser: A DFA-driven Electronic Programming Tutor.
11063;Petter Ericson;On the Regularity and Learnability of Ordered DAG Languages.
11067;José Oncina;Computing the Expected Edit Distance from a String to a PFA.
11139;Gaëlle Skapin;Term Validation of Distributed Hard Real-Time Applications.
11190;Daniel Neider;Reachability Games on Automatic Graphs.
11196;Louis-Marie Dando;From Hadamard Expressions to Weighted Rotating Automata and Back.
11202;Sheng Yu;Derick Wood: Always in Our Hearts.
11203;Sheng Yu;State Complexity of Catenation Combined with Union and Intersection.
11207;Sheng Yu;Are Statecharts Finite Automata?
11212;Sheng Yu;Deterministic Caterpillar Expressions.
11215;Sheng Yu;On the State Complexity of Combined Operations.
11228;Sheng Yu;Regex and Extended Regex.
11231;Sheng Yu;None
11264;Alfons Geser;Finding Finite Automata That Certify Termination of String Rewriting.
11350;Jurek Czyzowicz;Efficient Computation of Throughput Values of Context-Free Languages.
11354;Jurek Czyzowicz;Reducing Simple Grammars: Exponential Against Highly-Polynomial Time in Practice.
11355;Jurek Czyzowicz;Prime Normal Form and Equivalence of Simple Grammars.
11358;Jurek Czyzowicz;Prime Decompositions of Regular Prefix Codes.
11417;Giusi Castiglione;Nondeterministic Moore Automata and Brzozowski\'s Algorithm.
11418;Giusi Castiglione;A Challenging Family of Automata for Classical Minimization Algorithms.
11420;Giusi Castiglione;On Extremal Cases of Hopcroft\'s Algorithm.
11432;Dana Shapira;Approximate Hashing for Bioinformatics.
11443;Dana Shapira;New Approaches for Context Sensitive Flash Codes.
11497;Robert Mercas;A Toolkit for Parikh Matrices.
11524;Nicolaas Weideman;On the Semantics of Atomic Subgroups in Practical Regular Expressions.
11525;Nicolaas Weideman;Analyzing Matching Time Behavior of Backtracking Regular Expression Matchers by Using Ambiguity of NFA.
11526;Bundit Pibaljommee;Weighted Nested Word Automata and Logics over Strong Bimonoids.
11527;Benjamin J. Wyatt;Partial Word DFAs.
11534;Hanlin Lu;Are Statecharts Finite Automata?
11538;Florent Nicart;Multi-tape Automata with Symbol Classes.
11540;Florent Nicart;None
11541;Florent Nicart;Computing the Follow Automaton of an Expression.
11542;Florent Nicart;WFSC - A New Weighted Finite State Compiler.
11543;Florent Nicart;Running Time Complexity of Printing an Acyclic Automaton.
11544;Florent Nicart;Finite State Lazy Operations in NLP.
11545;Steyn van Litsenborgh;Memoized Regular Expressions.
11546;Fedor M. Fominykh;P(l)aying for Synchronization.
11559;Takaaki Nishimoto;Compressed Automata for Dictionary Matching.
11645;Solon P. Pissis;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.
11663;Francine Blanchet-Sadri;Minimal Partial Languages and Automata.
11669;Francine Blanchet-Sadri;Partial Word DFAs.
11698;Alexandre Ja. Dikovsky;Categorial Grammars with Iterated Types form a Strict Hierarchy of k-Valued Languages.
11774;Tomoyuki Yamakami;An Application of Quantum Finite Automata to Interactive Proof Systems.
11790;Zoltán Fülöp;Composition Closure of Linear Weighted Extended Top-Down Tree Transducers.
11807;Yo-Sub Han;How to Settle the ReDoS Problem: Back to the Classical Automata Theory.
11819;Yo-Sub Han;A General Architecture of Oritatami Systems for Simulating Arbitrary Finite Automata.
11826;Yo-Sub Han;Online Stochastic Pattern Matching.
11833;Yo-Sub Han;Alignment Distance of Regular Tree Languages.
11853;Yo-Sub Han;Left is Better than Right for Reducing Nondeterminism of NFAs.
11858;Yo-Sub Han;Approximate Matching between a Context-Free Grammar and a Finite-State Automaton.
11864;Yo-Sub Han;A Cellular Automaton Model for Car Traffic with a Form-One-Lane Rule.
11871;Yo-Sub Han;Implementation of State Elimination Using Heuristics.
11890;Yo-Sub Han;Shorter Regular Expressions from Finite-State Automata.
11891;Yo-Sub Han;The Generalization of Generalized Automata: Expression Automata.
11926;Corinna Cortes;Large-Scale Training of SVMs with Automata Kernels.
11942;Corinna Cortes;On the Computation of Some Standard Distances Between Probabilistic Automata.
12025;Marek A. Perkowski;Universality of Hybrid Quantum Gates and Synthesis Without Ancilla Qudits.
12102;Abuzer Yakaryilmaz;Looking for Pairs that Hard to Separate: A Quantum Approach.
12105;Abuzer Yakaryilmaz;Classical and Quantum Counter Automata on Promise Problems.
12113;Abuzer Yakaryilmaz;Unary Languages Recognized by Two-Way One-Counter Automata.
12114;Abuzer Yakaryilmaz;Implications of Quantum Automata for Contextuality.
12127;Zoran Sunic;Cellular Automata on Regular Rooted Trees.
12217;Tomás Vojnar;Antichain-Based Universality and Inclusion Testing over Nondeterministic Finite Tree Automata.
12218;Tomás Vojnar;Composed Bisimulation for Tree Automata.
12257;Michael I. Schwartzbach;MONA Implementation Secrets.
12278;Diana Geneva;Algorithms for Probabilistic and Stochastic Subsequential Failure Transducers.
12298;Grzegorz Rozenberg;A Formal Framework for Processes Inspired by the Functioning of Living Cells.
12319;Grzegorz Rozenberg;Theory Inspired by Gene Assembly in Ciliates.
12435;Akihiko Tozawa;XML Schema Containment Checking Based on Semi-implicit Techniques.
12443;Holger Bock Axelsen;The Degree of Irreversibility in Deterministic Finite Automata.
12472;Edon Kelmendi;Stamina: Stabilisation Monoids in Automata Theory.
12502;Aitzol Ezeiza;Using Finite State Technology in Natural Language Processing of Basque.
12505;Wojciech Fraczak;Efficient Computation of Throughput Values of Context-Free Languages.
12509;Wojciech Fraczak;Reducing Simple Grammars: Exponential Against Highly-Polynomial Time in Practice.
12510;Wojciech Fraczak;Prime Normal Form and Equivalence of Simple Grammars.
12511;Wojciech Fraczak;Concatenation State Machines and Simple Functions.
12513;Wojciech Fraczak;Prime Decompositions of Regular Prefix Codes.
12529;Fritz Henglein;Two-Pass Greedy Regular Expression Parsing.
12643;Madhav V. Marathe;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.
12794;Eleni Mandrali;Weighted LTL with Discounting.
12922;Fei Xie;Universality of Hybrid Quantum Gates and Synthesis Without Ancilla Qudits.
12942;Alexander Lauser;Regular Ideal Languages and Their Boolean Combinations.
12947;Alexander Lauser;Partially Ordered Two-Way Büchi Automata.
12964;Manuel Vilares Ferro;Robust Spelling Correction.
12970;Manuel Vilares Ferro;Regional Finite-State Error Repair.
12972;Manuel Vilares Ferro;Robust Parsing Using Dynamic Programming.
12979;Manuel Vilares Ferro;Tabulation of Bidirectional Push Down Automata.
12980;Manuel Vilares Ferro;Searching for Asymptotic Error Repair.
12990;Manuel Vilares Ferro;Regional Least-Cost Error Repair.
13002;Meriç Üngör;Energy Complexity of Regular Language Recognition.
13068;Louis-Noël Pouchet;Inside Vaucanson.
13071;Frank Drewes;Hybrid Tree Automata and the Yield Theorem for Constituent Tree Automata.
13080;Frank Drewes;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.
13083;Frank Drewes;A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.
13119;Frank Drewes;Computing Raster Images from Grid Picture Grammars.
13120;Frank Drewes;TREEBAG.
13162;Cyril Allauzen;Algorithms for Weighted Finite Automata with Failure Transitions.
13176;Cyril Allauzen;A Pushdown Transducer Extension for the OpenFst Library.
13182;Cyril Allauzen;Large-Scale Training of SVMs with Automata Kernels.
13183;Cyril Allauzen;Filters for Efficient Composition of Weighted Finite-State Transducers.
13188;Cyril Allauzen;3-Way Composition of Weighted Finite-State Transducers.
13189;Cyril Allauzen;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.
13195;Cyril Allauzen;A General Weighted Grammar Library.
13198;Cyril Allauzen;An Efficient Pre-determinization Algorithm.
13199;Cyril Allauzen;p-Subsequentiable Transducers.
13489;Bin Ma;An Automata Approach to Match Gapped Sequence Tags Against Protein Database.
13531;Lynette van Zijl;Magic Numbers for Symmetric Difference NFAs.
13533;Lynette van Zijl;Succinct Descriptions of Regular Languages with Binary +-NFAs.
13534;Lynette van Zijl;Random Number Generation with +-NFAs.
13535;Lynette van Zijl;Supernondeterministic Finite Automata.
13536;Lynette van Zijl;The MERLin Environment Applied to *-NFAs.
13558;Ryo Yoshinaka;Enumeration of Cryptarithms Using Deterministic Finite Automata.
13610;Filippo Mignosi;On Lazy Representations and Sturmian Graphs.
13612;Filippo Mignosi;On the Suffix Automaton with Mismatches.
13747;Xiaoyu Song;Universality of Hybrid Quantum Gates and Synthesis Without Ancilla Qudits.
13785;Alicja Trusewicz;Finite-State Molecular Computing.
13789;Maciej Troc;Finite-State Molecular Computing.
13790;Aidan Shackleton;Minimal Partial Languages and Automata.
13869;Jonathan Lee 0005;Enumerating Regular Expressions and Their Languages.
13896;Agata Savary;Enhancing Practical TAG Parsing Efficiency by Capturing Redundancy.
13911;Agata Savary;Multiflex: A Multilingual Finite-State Tool for Multi-Word Units.
13917;Agata Savary;Incremental and Semi-incremental Construction of Pseudo-Minimal Automata.
13918;Agata Savary;Typographical Nearest-Neighbor Search in a Finite-State Lexicon and Its Application to Spelling Correction.
13961;Aniello Murano;Solving Parity Games: Explicit vs Symbolic.
13989;Aniello Murano;Solving Parity Games Using an Automata-Based Algorithm.
14044;Jae-Hee Ahn;Implementation of State Elimination Using Heuristics.
14052;Daniel Prusa;A Simple Extension to Finite Tree Automata for Defining Sets of Labeled, Connected Graphs.
14053;Daniel Prusa;Two-Dimensional Pattern Matching Against Basic Picture Languages.
14060;Daniel Prusa;Complexity of Sets of Two-Dimensional Patterns.
14064;Daniel Prusa;(Un)decidability of the Emptiness Problem for Multi-dimensional Context-Free Grammars.
14074;Daniel Prusa;Comparing Two-Dimensional One-Marker Automata to Sgraffito Automata.
14077;Daniel Prusa;Restarting Tiling Automata.
14145;Yanbing Liu;Compressing Regular Expressions\' DFA Table by Matrix Decomposition.
14146;Yanbing Liu;A Table Compression Method for Extended Aho-Corasick Automaton.
14161;Fabien Coulon;Brute Force Determinization of NFAs by Means of State Covers.
14208;Sven De Felice;Random Generation of Deterministic Acyclic Automata Using Markov Chains.
14215;James Jerson Ortiz;Distributed Event Clock Automata - Extended Abstract.
14231;Qichao Wang;Weighted Restarting Automata as Language Acceptors.
14237;Jan Skryja;On the Size of Deterministic Finite Automata.
14330;Jean-François Raskin;Fixpoint Guided Abstraction Refinement for Alternating Automata.
14396;Dmitry Chistikov;A Uniformization Theorem for Nested Word to Word Transductions.
14412;Meenakshi Paramasivan;Jumping Finite Automata: Characterizations and Complexity.
14424;Kira Goldner;Minimal Partial Languages and Automata.
14446;Anne Bergeron;Cascade Decompositions are Bit-Vector Algorithms.
14447;Anne Bergeron;Fast Implementations of Automata Computations.
14453;Mireille Clerbout;Component Composition Preserving Behavioural Contracts Based on Communication Traces.
14465;Bhaskar Chakraborty;A Finite Union of DFAs in Symbolic Model Checking of Infinite Systems.
14467;Adam Yao;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.
14483;Andrew Winslow;The Complexity of Fixed-Height Patterned Tile Self-assembly.
14505;Wolfgang Merzenich;Enhancements of Partitioning Techniques for Image Compression Using Weighted Finite Automata.
14551;Tayssir Touili;Verifying Parallel Programs with Dynamic Communication Structures.
14557;Tayssir Touili;Antichain-Based Universality and Inclusion Testing over Nondeterministic Finite Tree Automata.
14576;Öykü Yilmaz;Energy Complexity of Regular Language Recognition.
14577;Tibor Csáki;Multi-tape Automata with Symbol Classes.
14684;Luiza de Macedo Mourelle;Minimal Adaptive Pattern-Matching Automata for Efficient Term Rewriting.
14690;Corwin Sinnamon;Complexity of Proper Suffix-Convex Regular Languages.
14692;Corwin Sinnamon;Complexity of Proper Prefix-Convex Regular Languages.
14698;Olivier Blanc;A Finite-State Super-Chunker.
14724;Markus L. Schmid;Jumping Finite Automata: Characterizations and Complexity.
14734;Markus L. Schmid;Automata with Modulo Counters and Nondeterministic Counter Bounds.
14736;Markus L. Schmid;A Polynomial Time Match Test for Large Classes of Extended Regular Expressions.
14740;Johanna Björklund;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.
14742;Johanna Björklund;A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.
14744;Johanna Björklund;On the Regularity and Learnability of Ordered DAG Languages.
14746;Johanna Björklund;Deterministic Stack Transducers.
14756;Johanna Björklund;Backward and Forward Bisimulation Minimisation of Tree Automata.
14757;Johanna Björklund;Bisimulation Minimization of Tree Automata.
14758;Johanna Björklund;Wind in the Willows - Generating Music by Means of Tree Transducers.
14765;Shmuel Tomi Klein;Approximate Hashing for Bioinformatics.
14777;Shmuel Tomi Klein;New Approaches for Context Sensitive Flash Codes.
14816;Shmuel Tomi Klein;Accelerating Boyer Moore Searches on Binary Texts.
14873;David Liu;Universal Witnesses for State Complexity of Basic Operations Combined with Reversal.
14915;Cyril Nicaud;Synchronizing Random Almost-Group Automata.
14933;Cyril Nicaud;A Challenging Family of Automata for Classical Minimization Algorithms.
14936;Cyril Nicaud;Random Generation of Deterministic Tree (Walking) Automata.
14938;Cyril Nicaud;: A Library to Randomly and Exhaustively Generate Automata.
14942;M. Utkan Gezer;Real-Time, Constant-Space, Constant-Randomness Verifiers.
14950;Antonio Cano Gómez;Finite Automata and Unions of Regular Patterns with Bounded Constant Segments.
14951;Antonio Cano Gómez;Is Learning RFSAs Better Than Learning DFAs?.
14972;Robert Glück;A Practical Simulation Result for Two-Way Pushdown Automata.
15032;Dmitry M. Rusakov;On the Equivalence Problem for Programs with Mode Switching.
15039;Seth Fogarty;State of Büchi Complementation.
15051;Yasuhiko Minamide;A Translation from the HTML DTD into a Regular Hedge Grammar.
15104;Miguel A. Alonso;Tabulation of Bidirectional Push Down Automata.
15105;Miguel A. Alonso;Searching for Asymptotic Error Repair.
15110;Miguel A. Alonso;Compilation Methods of Minimal Acyclic Finite-State Automata for Large Dictionaries.
15157;Luca Aceto;On the Complexity of Determinizing Monitors.
15261;Radu Iosif;Automata-Based Termination Proofs.
15311;Natalia Kushik;Describing Homing and Distinguishing Sequences for Nondeterministic Finite State Machines via Synchronizing Automata.
15318;Natalia Kushik;On the Length of Homing Sequences for Nondeterministic Finite State Machines.
15319;Natalia Kushik;Preset and Adaptive Homing Experiments for Nondeterministic Finite State Machines.
15322;Mikhail A. Roytberg;Subset Seed Automaton.
15447;Alessandro Cimatti;From Sequential Extended Regular Expressions to NFA with Symbolic Labels.
15479;Alessandro Cimatti;Symbolic Implementation of Alternating Automata.
15533;Haruo Hosoya;Compact Representation for Answer Sets of n-ary Regular Queries.
15535;Haruo Hosoya;Multi-Return Macro Tree Transducers.
15542;Haruo Hosoya;Non-backtracking Top-Down Algorithm for Checking Tree Automata Containment.
15544;Haruo Hosoya;Boolean Operations for Attribute-Element Constraints.
15582;Martin Plátek;A Measure for the Degree of Nondeterminism of Context-Free Languages.
15586;Martin Plátek;Correctness Preservation and Complexity of Simple RL-Automata.
15619;Satoshi Okui;Disambiguation in Regular Expression Matching via Position Automata with Augmented Transitions.
15620;Satoshi Okui;Hedge Pattern Partial Derivative.
15626;Yifu Yang;A Table Compression Method for Extended Aho-Corasick Automaton.
15637;André Almeida (disambiguation);FAdo and GUItar.
15638;Sebastian John;Minimal Unambiguous eNFA.
15643;Jean-Marc Champarnaud;Multi-Tilde-Bar Derivatives.
15647;Jean-Marc Champarnaud;Regular Geometrical Languages and Tiling the Plane.
15650;Jean-Marc Champarnaud;Small Extended Expressions for Acyclic Automata.
15651;Jean-Marc Champarnaud;Testing Whether a Binary and Prolongeable Regular Language LIs Geometrical or Not on the Minimal Deterministic Automaton of Pref(L).
15654;Jean-Marc Champarnaud;Reducing Acyclic Cover Transducers.
15655;Jean-Marc Champarnaud;Multi-tape Automata with Symbol Classes.
15657;Jean-Marc Champarnaud;None
15660;Jean-Marc Champarnaud;Brute Force Determinization of NFAs by Means of State Covers.
15661;Jean-Marc Champarnaud;Computing the Follow Automaton of an Expression.
15664;Jean-Marc Champarnaud;From Regular Weighted Expressions to Finite Automata.
15668;Jean-Marc Champarnaud;Brzozowski\'s Derivatives Extended to Multiplicities.
15669;Jean-Marc Champarnaud;Implicit Structures to Implement NFA\'s from Regular Expressions.
15670;Jean-Marc Champarnaud;New Finite Automaton Constructions Based on Canonical Derivatives.
15679;Henning Bordihn;On the Number of Active States in Deterministic and Nondeterministic Finite Automata.
15694;Henning Bordihn;Hybrid Extended Finite Automata.
15700;Henning Bordihn;Some Non-semi-decidability Problems for Linear and Deterministic Context-Free Languages.
15713;Samira Attou;The Bottom-Up Position Tree Automaton and Its Compact Version.
15718;Peter Mlynárcik;Nondeterministic Complexity of Operations on Free and Convex Languages.
15719;Peter Mlynárcik;Nondeterministic Complexity of Operations on Closed and Ideal Languages.
15729;Kazuyuki Asada;Streaming Ranked-Tree-to-String Transducers.
15744;Ahmed Amarni;Factor and Subsequence Kernels and Signatures of Rational Languages.
15755;José M. Castaño;Variable and Clause Ordering in an FSA Approach to Propositional Satisfiability.
15762;José M. Castaño;LR Parsing for Global Index Languages (GILs).
15790;Fang Yu;Relational String Verification Using Multi-track Automata.
15806;Fang Yu;TCTL Inevitability Analysis of Dense-Time Systems.
15810;Michael Holtmann;Memory Reduction for Strategies in Infinite Games.
15823;Irène Durand;Fly-Automata, Their Properties and Applications.
15837;Matthew Kilgore;Partial Word DFAs.
15919;Jianlong Tan;Compressing Regular Expressions\' DFA Table by Matrix Decomposition.
15921;Jianlong Tan;A Table Compression Method for Extended Aho-Corasick Automaton.
15981;Olgierd Unold;Finite-State Molecular Computing.
15983;Milos Pajic;Information Extraction from Semi-structured Resources: A Two-Phase Finite State Transducers Approach.
15984;Bo Cui;State Complexity of Catenation Combined with Union and Intersection.
16000;German Tischler;Refinement of Near Random Access Video Coding with Weighted Finite Automata.
16001;German Tischler;Parametric Weighted Finite Automata for Figure Drawing.
16002;Michael Thomas 0004;Enhancements of Partitioning Techniques for Image Compression Using Weighted Finite Automata.
16004;Nelma Moreira;Manipulation of Regular Expressions Using Derivatives: An Overview.
16009;Nelma Moreira;Partial Derivatives of Regular Expressions over Alphabet-Invariant and User-Defined Labels.
16012;Nelma Moreira;Regular Expressions and Transducers over Alphabet-Invariant and User-Defined Labels.
16021;Nelma Moreira;Implementation of Code Properties via Transducers.
16027;Nelma Moreira;Deciding Synchronous Kleene Algebra with Derivatives.
16031;Nelma Moreira;Partial Derivative and Position Bisimilarity Automata.
16034;Nelma Moreira;Incomplete Transition Complexity of Basic Operations on Finite Languages.
16039;Nelma Moreira;Incremental DFA Minimisation.
16040;Nelma Moreira;Partial Derivative Automata Formalized in Coq.
16042;Nelma Moreira;FAdo and GUItar.
16045;Nelma Moreira;Antimirov and Mosses\'s Rewrite System Revisited.
16052;Nelma Moreira;Acyclic Automata with Easy-to-Find Short Regular Expressions.
16061;Rimma I. Podlovchenko;On the Equivalence Problem for Programs with Mode Switching.
16071;Ruben Urizar;Using Finite State Technology in Natural Language Processing of Basque.
16074;José Ruiz;Learning Regular Languages Using Nondeterministic Finite Automata.
16076;José Ruiz;A Family of Algorithms for Non Deterministic Regular Languages Inference.
16078;José Ruiz;Is Learning RFSAs Better Than Learning DFAs?.
16088;Strahil Ristov;Enumerated Automata Implementation of String Dictionaries.
16094;Tsung-Shan Tsou;An Optimal Algorithm for Maximum-Sum Segment and Its Application in Bioinformatics Extended Abstract.
16113;Yann Régis-Gianas;Introducing VAUCANSON.
16119;Jean-Philippe Dubernard;Regular Geometrical Languages and Tiling the Plane.
