;Author;Title
2400;Sang-Ki Ko;Efficient Enumeration of Regular Expressions for Faster Regular Expression Synthesis.
2412;Sang-Ki Ko;Alignment Distance of Regular Tree Languages.
2421;Sang-Ki Ko;Left is Better than Right for Reducing Nondeterminism of NFAs.
2423;Sang-Ki Ko;Approximate Matching between a Context-Free Grammar and a Finite-State Automaton.
2428;Sang-Ki Ko;A Cellular Automaton Model for Car Traffic with a Form-One-Lane Rule.
2440;Lucian Ilie;Factor Oracles.
2458;Robert Bakaric;Enumerated Automata Implementation of String Dictionaries.
2480;Thierry Lecroq;A Fast Suffix Automata Based Algorithm for Exact Online String Matching.
2513;Olivier Gauwin;Early Nested Word Automata for XPath Query Answering on XML Streams.
2515;Olivier Gauwin;Streamable Fragments of Forward XPath.
2521;Martin Berglund;Ordered Context-Free Grammars.
2522;Martin Berglund;Memoized Regular Expressions.
2529;Martin Berglund;On the Semantics of Atomic Subgroups in Practical Regular Expressions.
2530;Martin Berglund;Analyzing Matching Time Behavior of Backtracking Regular Expression Matchers by Using Ambiguity of NFA.
2531;Martin Berglund;On the Semantics of Regular Expression Parsing in the Wild.
2541;Mutlu Beyazit;Using Regular Grammars for Event-Based Testing.
2551;André Kempe;Multi-tape Automata with Symbol Classes.
2553;André Kempe;None
2555;André Kempe;WFSC - A New Weighted Finite State Compiler.
2556;André Kempe;Running Time Complexity of Printing an Acyclic Automaton.
2557;André Kempe;Extraction of epsilon-Cyclesfrom Finite-State Transducers.
2559;André Kempe;Factorization of Ambiguous Finite-State Transducers.
2560;André Kempe;Part-of-Speech Tagging with Two Sequential Transducers.
2569;Klaus U. Schulz;A Simple Method for Building Bimachines from Functional Finite-State Transducers.
2623;Denis Béchet;Categorial Grammars with Iterated Types form a Strict Hierarchy of k-Valued Languages.
2642;Ivana Krajnáková;On the Square of Regular Languages.
2714;Xiang Fu;Conversation Protocols: A Formalism for Specification and Verification of Reactive Electronic Services.
2720;Johann Deneux;Minimization of Non-deterministic Automata with Large Alphabets.
2750;Nathanaël Fijalkow;Stamina: Stabilisation Monoids in Automata Theory.
2768;Éric Laugerotte;Computing Weights.
2769;Éric Laugerotte;From Regular Weighted Expressions to Finite Automata.
2772;Anna Jonsson;A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.
2777;Alessandra Gabriele;On Lazy Representations and Sturmian Graphs.
2779;Alessandra Gabriele;On the Suffix Automaton with Mismatches.
2785;Jim Morey;Crystal Lattice Automata.
2786;K. Sasidharan;A Package for the Implementation of Block Codes as Finite Automata.
2793;Julien David;: A Library to Randomly and Exhaustively Generate Automata.
2817;Damien Pous;CoInductive Automata Algorithms.
2854;Mihaela Gheorghiu Bobaru;Simulation of Gate Circuits in the Algebra of Transients.
2855;Mihaela Gheorghiu Bobaru;Feedback-Free Circuits in the Algebra of Transients.
2865;Michael Luttenberger;FPsolve: A Generic Solver for Fixpoint Equations over Semirings.
2881;Michael Luttenberger;Reachability Analysis of Procedural Programs with Affine Integer Arithmetic.
2884;Ladislav Vagner;The Constrained Longest Common Subsequence Problem for Degenerate Strings.
2886;Michal Vorácek;The Constrained Longest Common Subsequence Problem for Degenerate Strings.
2912;Mark Daley;Viral Gene Compression: Complexity and Verification.
2914;Mark Daley;Bag Automata and Stochastic Retrieval of Biomolecules in Solution.
2958;Mans Hulden;From Two-Way to One-Way Finite Automata - Three Regular Expression-Based Methods.
2986;Martin Simunek;Approximate Periods with Levenshtein Distance.
2987;Martin Simunek;Borders and Finite Automata.
2990;Barbara Klunder;Finite Automata Accepting Star-Connected Languages.
3000;Avraham Trakhtman;Reducing the Time Complexity of Testing for Local Threshold Testability.
3001;Avraham Trakhtman;A Polynomial Time Algorithm for Left [Right] Local Testability.
3002;Avraham Trakhtman;A Package TESTAS for Checking Some Kinds of Testability.
3013;Thomas Genet;A Completion Algorithm for Lattice Tree Automata.
3055;Jorma Tarhio;On String Matching in Chunked Texts.
3096;Vesna Pajic;Information Extraction from Semi-structured Resources: A Two-Phase Finite State Transducers Approach.
3097;Jacobie Mouton;Memoized Regular Expressions.
3104;Alexander Sakharov;One-Counter Automata for Parsing and Language Approximation.
3130;Mirian Halfeld Ferrari Alves;Weak Inclusion for XML Types.
3153;Lydia Rodriguez de la Nava;Symbolic Weighted Language Models, Quantitative Parsing and Automated Music Transcription.
3155;Guy Arbitman;Approximate Hashing for Bioinformatics.
3163;Ramaswamy Ramanujam;Dolev-Yao Theory with Associative Blindpair Operators.
3193;Ramaswamy Ramanujam;An Automaton Model of User-Controlled Navigation on the Web.
3227;Ayumi Shinohara;Enumeration of Cryptarithms Using Deterministic Finite Automata.
3282;Ayumi Shinohara;Ternary Directed Acyclic Word Graphs.
3335;Liliana Cojocaru;Simulating the Process of Gene Assembly in Ciliates.
3336;Dmitry Dementyev;Security of Numerical Sensors in Automata.
3337;Casey Meijer;Implementation of Code Properties via Transducers.
3340;Ryan Dixon;Automata-Theoretic Analysis of Bit-Split Languages for Packet Scanning.
3341;Francesca Fiorenzi;Cellular Automata on Regular Rooted Trees.
3377;Ingo Pill;Symbolic Implementation of Alternating Automata.
3391;Daniel J. Rosenkrantz;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.
3459;Simon Beier;Semi-linear Lattices and Right One-Way Jumping Finite Automata (Extended Abstract).
3467;Jason R. Smith 0002;An Incremental Algorithm for Constructing Minimal Deterministic Finite Cover Automata.
3481;Pavlos Antoniou;Finding Common Motifs with Gaps Using Finite Automata.
3548;Mehryar Mohri;On the Disambiguation of Weighted Automata.
3563;Mehryar Mohri;A Disambiguation Algorithm for Finite Automata and Functional Transducers.
3571;Mehryar Mohri;Large-Scale Training of SVMs with Automata Kernels.
3594;Mehryar Mohri;3-Way Composition of Weighted Finite-State Transducers.
3600;Mehryar Mohri;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.
3601;Mehryar Mohri;Factor Automata of Automata and Applications.
3607;Mehryar Mohri;On the Computation of Some Standard Distances Between Probabilistic Automata.
3616;Mehryar Mohri;A General Weighted Grammar Library.
3624;Mehryar Mohri;An Efficient Pre-determinization Algorithm.
3628;Mehryar Mohri;Edit-Distance of Weighted Automata.
3629;Mehryar Mohri;p-Subsequentiable Transducers.
3631;Mehryar Mohri;Generic epsilon -Removal Algorithm for Weighted Automata.
3646;Manuel Delgado;Approximation to the Smallest Regular Expression for a Given Regular Language.
3647;Ikuo Kawaharada;Deterministic Recognition of Trees Accepted by a Linear Pushdown Tree Automaton.
3690;Chris J. Kuhlman;Complexity of Inferring Local Transition Functions of Discrete Dynamical Systems.
3727;Gheorghe Paun;Spiking Neural P Systems Used as Acceptors and Transducers.
3785;Brent Heeringa;Approximating Minimum Reset Sequences.
3811;Frank Stephan;On the Values for Factor Complexity.
3935;Piotr Oprocha;Symbolic Dynamics, Flower Automata and Infinite Traces.
3953;Libor Polák;Minimalizations of NFA Using the Universal Automaton.
3955;Libor Polák;Syntactic Semiring and Language Equations.
3957;Aneta Binder;Implementation of Catalytic P Systems.
4020;Yong Sun;SDFA: Series DFA for Memory-Efficient Regular Expression Matching.
4102;Gérard Duchamp;Brzozowski\'s Derivatives Extended to Multiplicities.
4107;Tamás Gaál;Multi-tape Automata with Symbol Classes.
4108;Tamás Gaál;WFSC - A New Weighted Finite State Compiler.
4109;Tamás Gaál;Is this Finite-State Transducer Sequentiable?
4110;Tamás Gaál;Extended Sequentialization of Transducers.
4112;Nicolas Maquet;Fixpoint Guided Abstraction Refinement for Alternating Automata.
4143;Guillaume Bonfante;Lexical Disambiguation with Polarities and Automata.
4196;Dietrich Kuske;Branching Automata with Costs - A Way of Reflecting Parallelism in Costs.
4213;Hing Leung;Structurally Unambiguous Finite Automata.
4223;Lasse Nielsen;Two-Pass Greedy Regular Expression Parsing.
4228;Frank Olivier;The MERLin Environment Applied to *-NFAs.
4253;Dominique Lavenier;None
4256;Dominique Lavenier;Linear Encoding Scheme for Weighted Finite Automata.
4275;Andreas Malcher;On the Power of Pushing or Stationary Moves for Input-Driven Pushdown Automata.
4287;Andreas Malcher;Input-Driven Multi-counter Automata.
4291;Andreas Malcher;Boosting Pushdown and Queue Machines by Preprocessing.
4294;Andreas Malcher;Transducing Reversibly with Finite State Machines.
4315;Andreas Malcher;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.
4330;Andreas Malcher;Two-Party Watson-Crick Computations.
4333;Andreas Malcher;Cellular Automata with Sparse Communication.
4344;Andreas Malcher;Regulated Nondeterminism in Pushdown Automata.
4448;Gregor von Bochmann;Submodule Construction and Supervisory Control: A Generalization.
4554;Bernard Boigelot;Counting the Solutions of Presburger Equations without Enumerating Them.
4627;Jiamou Liu;Decision Problems for Finite Automata over Infinite Algebraic Structures.
4650;Carsten Fritz;Constructing Büchi Automata from Linear Temporal Logic Using Simulation Relations for Alternating Büchi Automata.
4675;Mukkai S. Krishnamoorthy;AVA: An Applet for Visualizing FRACTRAN and Other Automata.
4712;Hellis Tamm;Size Reduction of Multitape Automata.
4713;Hellis Tamm;Size Reduction of Multitape Automata.
4714;Hellis Tamm;Bideterministic Automata and Minimal Representations of Regular Languages.
4764;Pierre Ganty;Fixpoint Guided Abstraction Refinement for Alternating Automata.
4781;Marek Szykula;State Complexity of Overlap Assembly.
4783;Marek Szykula;Complexity of Bifix-Free Regular Languages.
4784;Marek Szykula;Syntactic Complexity of Bifix-Free Languages.
4788;Marek Szykula;Experiments with Synchronizing Automata.
4793;Marek Szykula;On the Number of Synchronizing Colorings of Digraphs.
4794;Marek Szykula;Checking Whether an Automaton Is Monotonic Is NP-complete.
4796;Marek Szykula;Large Aperiodic Semigroups.
4799;Marek Szykula;Generating Small Automata and the Černý Conjecture.
4802;Martin Kutrib;Syntax Checking Either Way.
4803;Martin Kutrib;On the Power of Pushing or Stationary Moves for Input-Driven Pushdown Automata.
4811;Martin Kutrib;Boolean Kernels of Context-Free Languages.
4824;Martin Kutrib;Input-Driven Multi-counter Automata.
4830;Martin Kutrib;Boosting Pushdown and Queue Machines by Preprocessing.
4831;Martin Kutrib;Parametrizing String Assembling Systems.
4839;Martin Kutrib;Transducing Reversibly with Finite State Machines.
4849;Martin Kutrib;The Degree of Irreversibility in Deterministic Finite Automata.
4850;Martin Kutrib;Deterministic Stack Transducers.
4859;Martin Kutrib;Expressive Capacity of Concatenation Freeness.
4877;Martin Kutrib;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.
4885;Martin Kutrib;On the Descriptional Complexity of the Window Size for Deterministic Restarting Automata.
4891;Martin Kutrib;Gaining Power by Input Operations: Finite Automata and Beyond.
4892;Martin Kutrib;Nondeterministic State Complexity of Star-Free Languages.
4901;Martin Kutrib;Two-Party Watson-Crick Computations.
4906;Martin Kutrib;Cellular Automata with Sparse Communication.
4915;Martin Kutrib;Nondeterministic Finite Automata-Recent Results on the Descriptional and Computational Complexity.
4923;Martin Kutrib;Regulated Nondeterminism in Pushdown Automata.
4928;Martin Kutrib;Hybrid Extended Finite Automata.
4935;Martin Kutrib;Some Non-semi-decidability Problems for Linear and Deterministic Context-Free Languages.
4944;Martin Kutrib;State Complexity of Basic Operations on Nondeterministic Finite Automata.
4949;Martin Kutrib;Improving Raster Image Run-Length Encoding Using Data Order.
4963;Angelo Morzenti;A Benchmark Production Tool for Regular Expressions.
4964;Angelo Morzenti;From Ambiguous Regular Expressions to Deterministic Parsing Automata.
