Author;Title;Co-Authors;Pagination;Published;Venue
Ulrik Terp Rasmussen;Two-Pass Greedy Regular Expression Parsing.;Niels Bjørn Bugge Grathwohl, Fritz Henglein, Lasse Nielsen;60-71;2013;CIAA 2013
Janusz A. Brzozowski;Universal Witnesses for State Complexity of Basic Operations Combined with Reversal.;David Liu;72-83;2013;CIAA 2013
David Liu;Universal Witnesses for State Complexity of Basic Operations Combined with Reversal.;Janusz A. Brzozowski;72-83;2013;CIAA 2013
Mathieu Caralp;Trimming Visibly Pushdown Automata.;Pierre-Alain Reynier, Jean-Marc Talbot;84-96;2013;CIAA 2013
Pierre-Alain Reynier;Trimming Visibly Pushdown Automata.;Mathieu Caralp, Jean-Marc Talbot;84-96;2013;CIAA 2013
Jean-Marc Talbot;Trimming Visibly Pushdown Automata.;Mathieu Caralp, Pierre-Alain Reynier;84-96;2013;CIAA 2013
Dmitry Chistikov;A Uniformization Theorem for Nested Word to Word Transductions.;Rupak Majumdar;97-108;2013;CIAA 2013
Rupak Majumdar;A Uniformization Theorem for Nested Word to Word Transductions.;Dmitry Chistikov;97-108;2013;CIAA 2013
Pierpaolo Degano;Towards Nominal Context-Free Model-Checking.;Gian Luigi Ferrari, Gianluca Mezzetti;109-121;2013;CIAA 2013
Gian Luigi Ferrari;Towards Nominal Context-Free Model-Checking.;Pierpaolo Degano, Gianluca Mezzetti;109-121;2013;CIAA 2013
Gianluca Mezzetti;Towards Nominal Context-Free Model-Checking.;Pierpaolo Degano, Gian Luigi Ferrari;109-121;2013;CIAA 2013
Akim Demaille;Implementation Concepts in Vaucanson 2.;Alexandre Duret-Lutz, Sylvain Lombardy, Jacques Sakarovitch;122-133;2013;CIAA 2013
Alexandre Duret-Lutz;Implementation Concepts in Vaucanson 2.;Akim Demaille, Sylvain Lombardy, Jacques Sakarovitch;122-133;2013;CIAA 2013
Sylvain Lombardy;Implementation Concepts in Vaucanson 2.;Akim Demaille, Alexandre Duret-Lutz, Jacques Sakarovitch;122-133;2013;CIAA 2013
Jacques Sakarovitch;Implementation Concepts in Vaucanson 2.;Akim Demaille, Alexandre Duret-Lutz, Sylvain Lombardy;122-133;2013;CIAA 2013
Thomas Genet;A Completion Algorithm for Lattice Tree Automata.;Tristan Le Gall, Axel Legay, Valérie Murat;134-145;2013;CIAA 2013
Tristan Le Gall;A Completion Algorithm for Lattice Tree Automata.;Thomas Genet, Axel Legay, Valérie Murat;134-145;2013;CIAA 2013
Axel Legay;A Completion Algorithm for Lattice Tree Automata.;Thomas Genet, Tristan Le Gall, Valérie Murat;134-145;2013;CIAA 2013
Valérie Murat;A Completion Algorithm for Lattice Tree Automata.;Thomas Genet, Tristan Le Gall, Axel Legay;134-145;2013;CIAA 2013
Yo-Sub Han;Approximate Matching between a Context-Free Grammar and a Finite-State Automaton.;Sang-Ki Ko, Kai Salomaa;146-157;2013;CIAA 2013
Sang-Ki Ko;Approximate Matching between a Context-Free Grammar and a Finite-State Automaton.;Yo-Sub Han, Kai Salomaa;146-157;2013;CIAA 2013
Kai Salomaa;Approximate Matching between a Context-Free Grammar and a Finite-State Automaton.;Yo-Sub Han, Sang-Ki Ko;146-157;2013;CIAA 2013
Md. Mahbubul Hasan;On Palindromic Sequence Automata and Applications.;A. S. M. Sohidull Islam, M. Sohel Rahman, Ayon Sen;158-168;2013;CIAA 2013
A. S. M. Sohidull Islam;On Palindromic Sequence Automata and Applications.;Md. Mahbubul Hasan, M. Sohel Rahman, Ayon Sen;158-168;2013;CIAA 2013
M. Sohel Rahman;On Palindromic Sequence Automata and Applications.;Md. Mahbubul Hasan, A. S. M. Sohidull Islam, Ayon Sen;158-168;2013;CIAA 2013
Ayon Sen;On Palindromic Sequence Automata and Applications.;Md. Mahbubul Hasan, A. S. M. Sohidull Islam, M. Sohel Rahman;158-168;2013;CIAA 2013
Patrick Henry;LALBLC A Program Testing the Equivalence of dpda's.;Géraud Sénizergues;169-180;2013;CIAA 2013
Géraud Sénizergues;LALBLC A Program Testing the Equivalence of dpda's.;Patrick Henry;169-180;2013;CIAA 2013
Markus Holzer;Brzozowski's Minimization Algorithm - More Robust than Expected - (Extended Abstract).;Sebastian Jakobi;181-192;2013;CIAA 2013
Sebastian Jakobi;Brzozowski's Minimization Algorithm - More Robust than Expected - (Extended Abstract).;Markus Holzer;181-192;2013;CIAA 2013
Oscar H. Ibarra;Some Decision Problems Concerning NPDAs, Palindromes, and Dyck Languages.;Bala Ravikumar;193-207;2013;CIAA 2013
Bala Ravikumar;Some Decision Problems Concerning NPDAs, Palindromes, and Dyck Languages.;Oscar H. Ibarra;193-207;2013;CIAA 2013
Jozef Jirásek;On the Boundary of Regular Languages.;Galina Jirásková;208-219;2013;CIAA 2013
Galina Jirásková;On the Boundary of Regular Languages.;Jozef Jirásek;208-219;2013;CIAA 2013
Natalia Kushik;On the Length of Homing Sequences for Nondeterministic Finite State Machines.;Nina Yevtushenko;220-231;2013;CIAA 2013
Nina Yevtushenko;On the Length of Homing Sequences for Nondeterministic Finite State Machines.;Natalia Kushik;220-231;2013;CIAA 2013
Martin Kutrib;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;Andreas Malcher, Carlo Mereghetti, Beatrice Palano, Matthias Wendlandt;232-243;2013;CIAA 2013
Andreas Malcher;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;Martin Kutrib, Carlo Mereghetti, Beatrice Palano, Matthias Wendlandt;232-243;2013;CIAA 2013
Carlo Mereghetti;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;Martin Kutrib, Andreas Malcher, Beatrice Palano, Matthias Wendlandt;232-243;2013;CIAA 2013
Beatrice Palano;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;Martin Kutrib, Andreas Malcher, Carlo Mereghetti, Matthias Wendlandt;232-243;2013;CIAA 2013
Matthias Wendlandt;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;Martin Kutrib, Andreas Malcher, Carlo Mereghetti, Beatrice Palano;232-243;2013;CIAA 2013
Andreas Maletti;Hyper-optimization for Deterministic Tree Automata.;nan;244-255;2013;CIAA 2013
Frantisek Mráz;Lambda-Confluence Is Undecidable for Clearing Restarting Automata.;Friedrich Otto;256-267;2013;CIAA 2013
Friedrich Otto;Lambda-Confluence Is Undecidable for Clearing Restarting Automata.;Frantisek Mráz;256-267;2013;CIAA 2013
Daniel Prusa;Comparing Two-Dimensional One-Marker Automata to Sgraffito Automata.;Frantisek Mráz, Friedrich Otto;268-279;2013;CIAA 2013
Frantisek Mráz;Comparing Two-Dimensional One-Marker Automata to Sgraffito Automata.;Daniel Prusa, Friedrich Otto;268-279;2013;CIAA 2013
Friedrich Otto;Comparing Two-Dimensional One-Marker Automata to Sgraffito Automata.;Daniel Prusa, Frantisek Mráz;268-279;2013;CIAA 2013
Stefano Crespi-Reghizzi;Deterministic Counter Machines and Parallel Matching Computations.;Pierluigi San Pietro;280-291;2013;CIAA 2013
Pierluigi San Pietro;Deterministic Counter Machines and Parallel Matching Computations.;Stefano Crespi-Reghizzi;280-291;2013;CIAA 2013
Denis Debarbieux;Early Nested Word Automata for XPath Query Answering on XML Streams.;Olivier Gauwin, Joachim Niehren, Tom Sebastian, Mohamed Zergaoui;292-305;2013;CIAA 2013
Olivier Gauwin;Early Nested Word Automata for XPath Query Answering on XML Streams.;Denis Debarbieux, Joachim Niehren, Tom Sebastian, Mohamed Zergaoui;292-305;2013;CIAA 2013
Joachim Niehren;Early Nested Word Automata for XPath Query Answering on XML Streams.;Denis Debarbieux, Olivier Gauwin, Tom Sebastian, Mohamed Zergaoui;292-305;2013;CIAA 2013
Tom Sebastian;Early Nested Word Automata for XPath Query Answering on XML Streams.;Denis Debarbieux, Olivier Gauwin, Joachim Niehren, Mohamed Zergaoui;292-305;2013;CIAA 2013
Mohamed Zergaoui;Early Nested Word Automata for XPath Query Answering on XML Streams.;Denis Debarbieux, Olivier Gauwin, Joachim Niehren, Tom Sebastian;292-305;2013;CIAA 2013
Klaus Sutner;Invertible Transducers, Iteration and Coordinates.;nan;306-318;2013;CIAA 2013
Tomohiro I;Compressed Automata for Dictionary Matching.;Takaaki Nishimoto, Shunsuke Inenaga, Hideo Bannai, Masayuki Takeda;319-330;2013;CIAA 2013
Takaaki Nishimoto;Compressed Automata for Dictionary Matching.;Tomohiro I, Shunsuke Inenaga, Hideo Bannai, Masayuki Takeda;319-330;2013;CIAA 2013
Shunsuke Inenaga;Compressed Automata for Dictionary Matching.;Tomohiro I, Takaaki Nishimoto, Hideo Bannai, Masayuki Takeda;319-330;2013;CIAA 2013
Hideo Bannai;Compressed Automata for Dictionary Matching.;Tomohiro I, Takaaki Nishimoto, Shunsuke Inenaga, Masayuki Takeda;319-330;2013;CIAA 2013
Masayuki Takeda;Compressed Automata for Dictionary Matching.;Tomohiro I, Takaaki Nishimoto, Shunsuke Inenaga, Hideo Bannai;319-330;2013;CIAA 2013
Aloïs Dreyfus;Enhancing Approximations for Regular Reachability Analysis.;Pierre-Cyrille Héam, Olga Kouchnarenko;331-339;2013;CIAA 2013
Pierre-Cyrille Héam;Enhancing Approximations for Regular Reachability Analysis.;Aloïs Dreyfus, Olga Kouchnarenko;331-339;2013;CIAA 2013
Olga Kouchnarenko;Enhancing Approximations for Regular Reachability Analysis.;Aloïs Dreyfus, Pierre-Cyrille Héam;331-339;2013;CIAA 2013
Andrzej Kisielewicz;Generating Small Automata and the Černý Conjecture.;Marek Szykula;340-348;2013;CIAA 2013
Marek Szykula;Generating Small Automata and the Černý Conjecture.;Andrzej Kisielewicz;340-348;2013;CIAA 2013
Eva Maia;Incomplete Transition Complexity of Basic Operations on Finite Languages.;Nelma Moreira, Rogério Reis;349-356;2013;CIAA 2013
Nelma Moreira;Incomplete Transition Complexity of Basic Operations on Finite Languages.;Eva Maia, Rogério Reis;349-356;2013;CIAA 2013
Rogério Reis;Incomplete Transition Complexity of Basic Operations on Finite Languages.;Eva Maia, Nelma Moreira;349-356;2013;CIAA 2013
Hermann Gruber;On 25 Years of CIAA Through the Lens of Data Science.;Markus Holzer, Christian Rauch;3-18;2022;CIAA 2022
Markus Holzer;On 25 Years of CIAA Through the Lens of Data Science.;Hermann Gruber, Christian Rauch;3-18;2022;CIAA 2022
Christian Rauch;On 25 Years of CIAA Through the Lens of Data Science.;Hermann Gruber, Markus Holzer;3-18;2022;CIAA 2022
Nelma Moreira;Manipulation of Regular Expressions Using Derivatives: An Overview.;Rogério Reis;19-33;2022;CIAA 2022
Rogério Reis;Manipulation of Regular Expressions Using Derivatives: An Overview.;Nelma Moreira;19-33;2022;CIAA 2022
Sicheol Sung;How to Settle the ReDoS Problem: Back to the Classical Automata Theory.;Hyunjoon Cheon, Yo-Sub Han;34-49;2022;CIAA 2022
Hyunjoon Cheon;How to Settle the ReDoS Problem: Back to the Classical Automata Theory.;Sicheol Sung, Yo-Sub Han;34-49;2022;CIAA 2022
Yo-Sub Han;How to Settle the ReDoS Problem: Back to the Classical Automata Theory.;Sicheol Sung, Hyunjoon Cheon;34-49;2022;CIAA 2022
Brink van der Merwe;Ordered Context-Free Grammars.;Martin Berglund;53-66;2022;CIAA 2022
Martin Berglund;Ordered Context-Free Grammars.;Brink van der Merwe;53-66;2022;CIAA 2022
Florent Jacquemard;Symbolic Weighted Language Models, Quantitative Parsing and Automated Music Transcription.;Lydia Rodriguez de la Nava;67-79;2022;CIAA 2022
Lydia Rodriguez de la Nava;Symbolic Weighted Language Models, Quantitative Parsing and Automated Music Transcription.;Florent Jacquemard;67-79;2022;CIAA 2022
Florian Bruse;A Similarity Measure for Formal Languages Based on Convergent Geometric Series.;Maurice Herwig, Martin Lange;80-92;2022;CIAA 2022
Maurice Herwig;A Similarity Measure for Formal Languages Based on Convergent Geometric Series.;Florian Bruse, Martin Lange;80-92;2022;CIAA 2022
Martin Lange;A Similarity Measure for Formal Languages Based on Convergent Geometric Series.;Florian Bruse, Maurice Herwig;80-92;2022;CIAA 2022
Frank Drewes;Hybrid Tree Automata and the Yield Theorem for Constituent Tree Automata.;Richard Mörbitz, Heiko Vogler;93-105;2022;CIAA 2022
Richard Mörbitz;Hybrid Tree Automata and the Yield Theorem for Constituent Tree Automata.;Frank Drewes, Heiko Vogler;93-105;2022;CIAA 2022
Heiko Vogler;Hybrid Tree Automata and the Yield Theorem for Constituent Tree Automata.;Frank Drewes, Richard Mörbitz;93-105;2022;CIAA 2022
Jakub Ruszil;Some Results Concerning Careful Synchronization of Partial Automata and Subset Synchronization of DFA's.;nan;106-115;2022;CIAA 2022
Laura K. Hutchinson;A Toolkit for Parikh Matrices.;Robert Mercas, Daniel Reidenbach;116-127;2022;CIAA 2022
Robert Mercas;A Toolkit for Parikh Matrices.;Laura K. Hutchinson, Daniel Reidenbach;116-127;2022;CIAA 2022
Daniel Reidenbach;A Toolkit for Parikh Matrices.;Laura K. Hutchinson, Robert Mercas;116-127;2022;CIAA 2022
Martin Kutrib;Syntax Checking Either Way.;Uwe Meyer;128-139;2022;CIAA 2022
Uwe Meyer;Syntax Checking Either Way.;Martin Kutrib;128-139;2022;CIAA 2022
Martin Kutrib;On the Power of Pushing or Stationary Moves for Input-Driven Pushdown Automata.;Andreas Malcher, Matthias Wendlandt;140-151;2022;CIAA 2022
Andreas Malcher;On the Power of Pushing or Stationary Moves for Input-Driven Pushdown Automata.;Martin Kutrib, Matthias Wendlandt;140-151;2022;CIAA 2022
Matthias Wendlandt;On the Power of Pushing or Stationary Moves for Input-Driven Pushdown Automata.;Martin Kutrib, Andreas Malcher;140-151;2022;CIAA 2022
Michal Hospodár;The Cut Operation in Subclasses of Convex Languages (Extended Abstract).;Viktor Olejar;152-164;2022;CIAA 2022
Viktor Olejar;The Cut Operation in Subclasses of Convex Languages (Extended Abstract).;Michal Hospodár;152-164;2022;CIAA 2022
Nicholas Tran;Variations of the Separating Words Problem.;nan;165-176;2022;CIAA 2022
Olga Martynova;Homomorphisms on Graph-Walking Automata.;Alexander Okhotin;177-188;2022;CIAA 2022
Alexander Okhotin;Homomorphisms on Graph-Walking Automata.;Olga Martynova;177-188;2022;CIAA 2022
Oliver A. S. Lyon;Nondeterministic State Complexity of Site-Directed Deletion.;Kai Salomaa;189-199;2022;CIAA 2022
Kai Salomaa;Nondeterministic State Complexity of Site-Directed Deletion.;Oliver A. S. Lyon;189-199;2022;CIAA 2022
Öykü Yilmaz;Energy Complexity of Regular Language Recognition.;Firat Kiyak, Meriç Üngör, A. C. Cem Say;200-211;2022;CIAA 2022
Firat Kiyak;Energy Complexity of Regular Language Recognition.;Öykü Yilmaz, Meriç Üngör, A. C. Cem Say;200-211;2022;CIAA 2022
Meriç Üngör;Energy Complexity of Regular Language Recognition.;Öykü Yilmaz, Firat Kiyak, A. C. Cem Say;200-211;2022;CIAA 2022
A. C. Cem Say;Energy Complexity of Regular Language Recognition.;Öykü Yilmaz, Firat Kiyak, Meriç Üngör;200-211;2022;CIAA 2022
Özdeniz Dolu;Real-Time, Constant-Space, Constant-Randomness Verifiers.;Nevzat Ersoy, M. Utkan Gezer, A. C. Cem Say;212-224;2022;CIAA 2022
Nevzat Ersoy;Real-Time, Constant-Space, Constant-Randomness Verifiers.;Özdeniz Dolu, M. Utkan Gezer, A. C. Cem Say;212-224;2022;CIAA 2022
M. Utkan Gezer;Real-Time, Constant-Space, Constant-Randomness Verifiers.;Özdeniz Dolu, Nevzat Ersoy, A. C. Cem Say;212-224;2022;CIAA 2022
A. C. Cem Say;Real-Time, Constant-Space, Constant-Randomness Verifiers.;Özdeniz Dolu, Nevzat Ersoy, M. Utkan Gezer;212-224;2022;CIAA 2022
Stefan Hoffmann;Constrained Synchronization for Monotonic and Solvable Automata and Automata with Simple Idempotents.;nan;225-237;2022;CIAA 2022
Yusuke Inoue;An Ambiguity Hierarchy of Weighted Context-Free Grammars.;Kenji Hashimoto, Hiroyuki Seki;238-250;2022;CIAA 2022
Kenji Hashimoto;An Ambiguity Hierarchy of Weighted Context-Free Grammars.;Yusuke Inoue, Hiroyuki Seki;238-250;2022;CIAA 2022
Hiroyuki Seki;An Ambiguity Hierarchy of Weighted Context-Free Grammars.;Yusuke Inoue, Kenji Hashimoto;238-250;2022;CIAA 2022
Anne Condon;On Design and Analysis of Chemical Reaction Network Algorithms.;nan;1-3;2018;CIAA 2018
Stavros Konstantinidis;Regular Expressions and Transducers over Alphabet-Invariant and User-Defined Labels.;Nelma Moreira, Rogério Reis, Joshua Young;4-27;2018;CIAA 2018
Nelma Moreira;Regular Expressions and Transducers over Alphabet-Invariant and User-Defined Labels.;Stavros Konstantinidis, Rogério Reis, Joshua Young;4-27;2018;CIAA 2018
Rogério Reis;Regular Expressions and Transducers over Alphabet-Invariant and User-Defined Labels.;Stavros Konstantinidis, Nelma Moreira, Joshua Young;4-27;2018;CIAA 2018
Joshua Young;Regular Expressions and Transducers over Alphabet-Invariant and User-Defined Labels.;Stavros Konstantinidis, Nelma Moreira, Rogério Reis;4-27;2018;CIAA 2018
Martin Kutrib;Boosting Pushdown and Queue Machines by Preprocessing.;Andreas Malcher, Matthias Wendlandt;28-40;2018;CIAA 2018
Andreas Malcher;Boosting Pushdown and Queue Machines by Preprocessing.;Martin Kutrib, Matthias Wendlandt;28-40;2018;CIAA 2018
Matthias Wendlandt;Boosting Pushdown and Queue Machines by Preprocessing.;Martin Kutrib, Andreas Malcher;28-40;2018;CIAA 2018
Sylvain Lombardy;The Validity of Weighted Automata.;Jacques Sakarovitch;41-45;2018;CIAA 2018
Jacques Sakarovitch;The Validity of Weighted Automata.;Sylvain Lombardy;41-45;2018;CIAA 2018
Cyril Allauzen;Algorithms for Weighted Finite Automata with Failure Transitions.;Michael D. Riley;46-58;2018;CIAA 2018
Michael D. Riley;Algorithms for Weighted Finite Automata with Failure Transitions.;Cyril Allauzen;46-58;2018;CIAA 2018
Samira Attou;The Bottom-Up Position Tree Automaton and Its Compact Version.;Ludovic Mignot, Djelloul Ziadi;59-70;2018;CIAA 2018
Ludovic Mignot;The Bottom-Up Position Tree Automaton and Its Compact Version.;Samira Attou, Djelloul Ziadi;59-70;2018;CIAA 2018
Djelloul Ziadi;The Bottom-Up Position Tree Automaton and Its Compact Version.;Samira Attou, Ludovic Mignot;59-70;2018;CIAA 2018
Laurent Bartholdi;A New Hierarchy for Automaton Semigroups.;Thibault Godin, Ines Klimann, Matthieu Picantin;71-83;2018;CIAA 2018
Thibault Godin;A New Hierarchy for Automaton Semigroups.;Laurent Bartholdi, Ines Klimann, Matthieu Picantin;71-83;2018;CIAA 2018
Ines Klimann;A New Hierarchy for Automaton Semigroups.;Laurent Bartholdi, Thibault Godin, Matthieu Picantin;71-83;2018;CIAA 2018
Matthieu Picantin;A New Hierarchy for Automaton Semigroups.;Laurent Bartholdi, Thibault Godin, Ines Klimann;71-83;2018;CIAA 2018
Mikhail V. Berlinkov;Synchronizing Random Almost-Group Automata.;Cyril Nicaud;84-96;2018;CIAA 2018
Cyril Nicaud;Synchronizing Random Almost-Group Automata.;Mikhail V. Berlinkov;84-96;2018;CIAA 2018
Johanna Björklund;A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.;Frank Drewes, Anna Jonsson;97-108;2018;CIAA 2018
Frank Drewes;A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.;Johanna Björklund, Anna Jonsson;97-108;2018;CIAA 2018
Anna Jonsson;A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.;Johanna Björklund, Frank Drewes;97-108;2018;CIAA 2018
Janusz A. Brzozowski;State Complexity of Overlap Assembly.;Lila Kari, Bai Li, Marek Szykula;109-120;2018;CIAA 2018
Lila Kari;State Complexity of Overlap Assembly.;Janusz A. Brzozowski, Bai Li, Marek Szykula;109-120;2018;CIAA 2018
Bai Li;State Complexity of Overlap Assembly.;Janusz A. Brzozowski, Lila Kari, Marek Szykula;109-120;2018;CIAA 2018
Marek Szykula;State Complexity of Overlap Assembly.;Janusz A. Brzozowski, Lila Kari, Bai Li;109-120;2018;CIAA 2018
Marco Cognetta;Online Stochastic Pattern Matching.;Yo-Sub Han;121-132;2018;CIAA 2018
Yo-Sub Han;Online Stochastic Pattern Matching.;Marco Cognetta;121-132;2018;CIAA 2018
Sylvie Davies;State Complexity of Reversals of Deterministic Finite Automata with Output.;nan;133-145;2018;CIAA 2018
Justin DeBenedetto;Algorithms and Training for Weighted Multiset Automata and Regular Expressions.;David Chiang;146-158;2018;CIAA 2018
David Chiang;Algorithms and Training for Weighted Multiset Automata and Regular Expressions.;Justin DeBenedetto;146-158;2018;CIAA 2018
Antonio Di Stasio;Solving Parity Games: Explicit vs Symbolic.;Aniello Murano, Moshe Y. Vardi;159-172;2018;CIAA 2018
Aniello Murano;Solving Parity Games: Explicit vs Symbolic.;Antonio Di Stasio, Moshe Y. Vardi;159-172;2018;CIAA 2018
Moshe Y. Vardi;Solving Parity Games: Explicit vs Symbolic.;Antonio Di Stasio, Aniello Murano;159-172;2018;CIAA 2018
Stefan Gerdjikov;Generalised Twinning Property.;nan;173-185;2018;CIAA 2018
Bruno Guillon;Non-self-embedding Grammars, Constant-Height Pushdown Automata, and Limited Automata.;Giovanni Pighizzini, Luca Prigioniero;186-197;2018;CIAA 2018
Giovanni Pighizzini;Non-self-embedding Grammars, Constant-Height Pushdown Automata, and Limited Automata.;Bruno Guillon, Luca Prigioniero;186-197;2018;CIAA 2018
Luca Prigioniero;Non-self-embedding Grammars, Constant-Height Pushdown Automata, and Limited Automata.;Bruno Guillon, Giovanni Pighizzini;186-197;2018;CIAA 2018
Michal Hospodár;The Ranges of Accepting State Complexities of Languages Resulting From Some Operations.;Markus Holzer;198-210;2018;CIAA 2018
Markus Holzer;The Ranges of Accepting State Complexities of Languages Resulting From Some Operations.;Michal Hospodár;198-210;2018;CIAA 2018
Oscar H. Ibarra;Semilinearity of Families of Languages.;Ian McQuillan;211-222;2018;CIAA 2018
Ian McQuillan;Semilinearity of Families of Languages.;Oscar H. Ibarra;211-222;2018;CIAA 2018
Jozef Jirásek;The Exact Complexity of Star-Complement-Star.;Galina Jirásková;223-235;2018;CIAA 2018
Galina Jirásková;The Exact Complexity of Star-Complement-Star.;Jozef Jirásek;223-235;2018;CIAA 2018
Martin Kutrib;Parametrizing String Assembling Systems.;Matthias Wendlandt;236-247;2018;CIAA 2018
Matthias Wendlandt;Parametrizing String Assembling Systems.;Martin Kutrib;236-247;2018;CIAA 2018
Sylvain Lombardy;Two Routes to Automata Minimization and the Ways to Reach It Efficiently.;Jacques Sakarovitch;248-260;2018;CIAA 2018
Jacques Sakarovitch;Two Routes to Automata Minimization and the Ways to Reach It Efficiently.;Sylvain Lombardy;248-260;2018;CIAA 2018
Yusei Masuda;Towards the Algorithmic Molecular Self-assembly of Fractals by Cotranscriptional Folding.;Shinnosuke Seki, Yuki Ubukata;261-273;2018;CIAA 2018
Shinnosuke Seki;Towards the Algorithmic Molecular Self-assembly of Fractals by Cotranscriptional Folding.;Yusei Masuda, Yuki Ubukata;261-273;2018;CIAA 2018
Yuki Ubukata;Towards the Algorithmic Molecular Self-assembly of Fractals by Cotranscriptional Folding.;Yusei Masuda, Shinnosuke Seki;261-273;2018;CIAA 2018
Birzhan Moldagaliyev;On the Values for Factor Complexity.;Ludwig Staiger, Frank Stephan;274-285;2018;CIAA 2018
Ludwig Staiger;On the Values for Factor Complexity.;Birzhan Moldagaliyev, Frank Stephan;274-285;2018;CIAA 2018
Frank Stephan;On the Values for Factor Complexity.;Birzhan Moldagaliyev, Ludwig Staiger;274-285;2018;CIAA 2018
Yuki Nozaki;Enumeration of Cryptarithms Using Deterministic Finite Automata.;Diptarama Hendrian, Ryo Yoshinaka, Ayumi Shinohara;286-298;2018;CIAA 2018
Diptarama Hendrian;Enumeration of Cryptarithms Using Deterministic Finite Automata.;Yuki Nozaki, Ryo Yoshinaka, Ayumi Shinohara;286-298;2018;CIAA 2018
Ryo Yoshinaka;Enumeration of Cryptarithms Using Deterministic Finite Automata.;Yuki Nozaki, Diptarama Hendrian, Ayumi Shinohara;286-298;2018;CIAA 2018
Ayumi Shinohara;Enumeration of Cryptarithms Using Deterministic Finite Automata.;Yuki Nozaki, Diptarama Hendrian, Ryo Yoshinaka;286-298;2018;CIAA 2018
Alexander Sakharov;One-Counter Automata for Parsing and Language Approximation.;nan;299-311;2018;CIAA 2018
Shubh Narayan Singh;On Syntactic Complexity of Circular Semi-flower Automata.;Kanduru V. Krishna;312-323;2018;CIAA 2018
Kanduru V. Krishna;On Syntactic Complexity of Circular Semi-flower Automata.;Shubh Narayan Singh;312-323;2018;CIAA 2018
Corwin Sinnamon;Complexity of Proper Suffix-Convex Regular Languages.;nan;324-338;2018;CIAA 2018
Jürgen Albert;Extended Context-Free Grammars and Normal Form Algorithms.;Dora Giammarresi, Derick Wood;1-12;1998;WIA 1998
Dora Giammarresi;Extended Context-Free Grammars and Normal Form Algorithms.;Jürgen Albert, Derick Wood;1-12;1998;WIA 1998
Derick Wood;Extended Context-Free Grammars and Normal Form Algorithms.;Jürgen Albert, Dora Giammarresi;1-12;1998;WIA 1998
Norbert Blum;On Parsing LL-Languages.;nan;13-21;1998;WIA 1998
Heiko Goeman;On Parsing and Condensing Substrings of LR Languages in Linear Time.;nan;22-42;1998;WIA 1998
Cezar Câmpeanu;Minimal Cover-Automata for Finite Languages.;Nicolae Santean, Sheng Yu;43-56;1998;WIA 1998
Nicolae Santean;Minimal Cover-Automata for Finite Languages.;Cezar Câmpeanu, Sheng Yu;43-56;1998;WIA 1998
Sheng Yu;Minimal Cover-Automata for Finite Languages.;Cezar Câmpeanu, Nicolae Santean;43-56;1998;WIA 1998
Jean-Marc Champarnaud;Determinization of Glushkov Automata.;Djelloul Ziadi, Jean-Luc Ponty;57-68;1998;WIA 1998
Djelloul Ziadi;Determinization of Glushkov Automata.;Jean-Marc Champarnaud, Jean-Luc Ponty;57-68;1998;WIA 1998
Jean-Luc Ponty;Determinization of Glushkov Automata.;Jean-Marc Champarnaud, Djelloul Ziadi;57-68;1998;WIA 1998
Sandra Huerter;Implementing Reversed Alternating Finite Automaton (r-AFA) Operations.;Kai Salomaa, Xiuming Wu, Sheng Yu;69-81;1998;WIA 1998
Kai Salomaa;Implementing Reversed Alternating Finite Automaton (r-AFA) Operations.;Sandra Huerter, Xiuming Wu, Sheng Yu;69-81;1998;WIA 1998
Xiuming Wu;Implementing Reversed Alternating Finite Automaton (r-AFA) Operations.;Sandra Huerter, Kai Salomaa, Sheng Yu;69-81;1998;WIA 1998
Sheng Yu;Implementing Reversed Alternating Finite Automaton (r-AFA) Operations.;Sandra Huerter, Kai Salomaa, Xiuming Wu;69-81;1998;WIA 1998
Zdenek Tronícek;Operations on DASG.;nan;82-91;1998;WIA 1998
Jan Holub;Implementation of Nondeterministic Finite Automata for Approximate Pattern Matching.;Borivoj Melichar;92-99;1998;WIA 1998
Borivoj Melichar;Implementation of Nondeterministic Finite Automata for Approximate Pattern Matching.;Jan Holub;92-99;1998;WIA 1998
Denis Maurel;The Syntactic Prediction with Token Automata: Application to HandiAS System.;Brigitte Le Pévédic, Olivier Rousseau;100-109;1998;WIA 1998
Brigitte Le Pévédic;The Syntactic Prediction with Token Automata: Application to HandiAS System.;Denis Maurel, Olivier Rousseau;100-109;1998;WIA 1998
Olivier Rousseau;The Syntactic Prediction with Token Automata: Application to HandiAS System.;Denis Maurel, Brigitte Le Pévédic;100-109;1998;WIA 1998
Thierry Poibeau;Bi-directional Automata to Extract Complex Phrases from Texts.;nan;110-120;1998;WIA 1998
Bruce W. Watson;A Fast New Semi-incremental Algorithm for the Construction of Minimal Acyclic DFAs.;nan;121-132;1998;WIA 1998
Matti Nykänen;Using Acceptors as Transducers.;nan;133-148;1998;WIA 1998
