Author;Title;Co-Authors;Pagination;Published in
Juha Kortelainen;There Does Not Exist a Minimal Full Trio with Respect to Bounded Context-Free Languages.;Tuukka Salmi;312-323;2011
Tuukka Salmi;There Does Not Exist a Minimal Full Trio with Respect to Bounded Context-Free Languages.;Juha Kortelainen;312-323;2011
Michal Kunc;Describing Periodicity in Two-Way Deterministic Finite Automata Using Transformation Semigroups.;Alexander Okhotin;324-336;2011
Alexander Okhotin;Describing Periodicity in Two-Way Deterministic Finite Automata Using Transformation Semigroups.;Michal Kunc;324-336;2011
Florin Manea;Deciding Networks of Evolutionary Processors.;nan;337-349;2011
Roberto Mantaci;From Linear Partitions to Parallelogram Polyominoes.;Paolo Massazza;350-361;2011
Paolo Massazza;From Linear Partitions to Parallelogram Polyominoes.;Roberto Mantaci;350-361;2011
Andrey N. Plyushchenko;None;Arseny M. Shur;362-373;2011
Arseny M. Shur;None;Andrey N. Plyushchenko;362-373;2011
Emanuele Rodaro;Never Minimal Automata and the Rainbow Bipartite Subgraph Problem.;Pedro V. Silva;374-385;2011
