Venue;Year;Author;URL;CoAuthorList;Title;Pagination;NoAuthor;AuthorURLs;DOI
CIAA;2004;Michiel Frishert;https://dblp.org/pid/81/1215.html;Michiel Frishert, Bruce W. Watson;Combining Regular Expressions with (Near-)Optimal Brzozowski Automata.;319-320;2;https://dblp.org/pid/81/1215.html,https://dblp.org/pid/w/BruceWWatson.html;10.1007/978-3-540-30500-2_34
CIAA;2003;Michiel Frishert;https://dblp.org/pid/81/1215.html;Michiel Frishert, Loek G. Cleophas, Bruce W. Watson;The Effect of Rewriting Regular Expressions on Their Accepting Automata.;304-305;3;https://dblp.org/pid/81/1215.html,https://dblp.org/pid/c/LoekCleophas.html,https://dblp.org/pid/w/BruceWWatson.html;10.1007/3-540-45089-0_31
CIAA;2008;Marcin Piatkowski;https://dblp.org/pid/71/2618.html;Pawel Baturo, Marcin Piatkowski, Wojciech Rytter;The Number of Runs in Sturmian Words.;252-261;3;https://dblp.org/pid/68/5692.html,https://dblp.org/pid/71/2618.html,https://dblp.org/pid/r/WojciechRytter.html;10.1007/978-3-540-70844-5_26
CIAA;2015;Mans Hulden;https://dblp.org/pid/69/1625.html;Mans Hulden;From Two-Way to One-Way Finite Automata - Three Regular Expression-Based Methods.;176-187;1;https://dblp.org/pid/69/1625.html;10.1007/978-3-319-22360-5_15
CIAA;2009;Kees Hemerik;https://dblp.org/pid/h/KeesHemerik.html;Loek G. Cleophas, Kees Hemerik;Forest FIRE: A Taxonomy-based Toolkit of Tree Automata and Regular Tree Algorithms.;245-248;2;https://dblp.org/pid/c/LoekCleophas.html,https://dblp.org/pid/h/KeesHemerik.html;10.1007/978-3-642-02979-0_29
CIAA;2011;Katja Meckel;https://dblp.org/pid/70/9958.html;Markus Holzer, Martin Kutrib, Katja Meckel;Nondeterministic State Complexity of Star-Free Languages.;178-189;3;https://dblp.org/pid/70/9958.html,https://dblp.org/pid/h/MarkusHolzer1.html,https://dblp.org/pid/k/MartinKutrib.html;10.1007/978-3-642-22256-6_17
CIAA;2014;Franziska Biegler;https://dblp.org/pid/37/153.html;Franziska Biegler, Ian McQuillan;On Comparing Deterministic Finite Automata and the Shuffle of Words.;98-109;2;https://dblp.org/pid/37/153.html,https://dblp.org/pid/85/1477.html;10.1007/978-3-319-08846-4_7
CIAA;2016;J. Andres Montoya;https://dblp.org/pid/90/3379.html;Aleksandrs Belovs, J. Andres Montoya, Abuzer Yakaryilmaz;Looking for Pairs that Hard to Separate: A Quantum Approach.;213-223;3;https://dblp.org/pid/24/4309.html,https://dblp.org/pid/82/4618.html,https://dblp.org/pid/90/3379.html;10.1007/978-3-319-40946-7_18
Workshop on Implementing Automata;1997;Edmund Grimley-Evans;https://dblp.org/pid/03/5895.html;George Anton Kiraz, Edmund Grimley-Evans;Multi-tape Automata for Speech and Language Systems: A Prolog Implementation.;87-103;2;https://dblp.org/pid/03/5895.html,https://dblp.org/pid/75/2891.html;10.1007/BFb0031383
CIAA;2004;Fabien Coulon;https://dblp.org/pid/79/5612.html;Jean-Marc Champarnaud, Fabien Coulon, Thomas Paranthoën;Brute Force Determinization of NFAs by Means of State Covers.;80-89;3;https://dblp.org/pid/09/734.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/79/5612.html;10.1007/978-3-540-30500-2_8
CIAA;2015;Meenakshi Paramasivan;https://dblp.org/pid/165/8675.html;Henning Fernau, Meenakshi Paramasivan, Markus L. Schmid;Jumping Finite Automata: Characterizations and Complexity.;89-101;3;https://dblp.org/pid/165/8675.html,https://dblp.org/pid/65/9125.html,https://dblp.org/pid/f/HenningFernau.html;10.1007/978-3-319-22360-5_8
CIAA;2009;Jan Holub;https://dblp.org/pid/h/JHolub.html;Jan Holub, Stanislav Stekr;On Parallel Implementations of Deterministic Finite Automata.;54-64;2;https://dblp.org/pid/35/7175.html,https://dblp.org/pid/h/JHolub.html;10.1007/978-3-642-02979-0_9
CIAA;2006;Jan Holub;https://dblp.org/pid/h/JHolub.html;Pavlos Antoniou, Jan Holub, Costas S. Iliopoulos, Borivoj Melichar, Pierre Peterlongo;Finding Common Motifs with Gaps Using Finite Automata.;69-77;5;https://dblp.org/pid/22/6627.html,https://dblp.org/pid/78/5300.html,https://dblp.org/pid/99/1614.html,https://dblp.org/pid/h/JHolub.html,https://dblp.org/pid/i/CSIliopoulos.html;10.1007/11812128_8
CIAA;2002;Jan Holub;https://dblp.org/pid/h/JHolub.html;Jan Holub, Maxime Crochemore;On the Implementation of Compact DAWG's.;289-294;2;https://dblp.org/pid/c/MCrochemore.html,https://dblp.org/pid/h/JHolub.html;10.1007/3-540-44977-9_31
CIAA;2002;Jan Holub;https://dblp.org/pid/h/JHolub.html;Jan Holub;Dynamic Programming - NFA Simulation.;295-300;1;https://dblp.org/pid/h/JHolub.html;10.1007/3-540-44977-9_32
CIAA;2001;Jan Holub;https://dblp.org/pid/h/JHolub.html;Jan Holub;Bit Parallelism - NFA Simulation.;149-160;1;https://dblp.org/pid/h/JHolub.html;10.1007/3-540-36390-4_13
Workshop on Implementing Automata;1998;Jan Holub;https://dblp.org/pid/h/JHolub.html;Jan Holub, Borivoj Melichar;Implementation of Nondeterministic Finite Automata for Approximate Pattern Matching.;92-99;2;https://dblp.org/pid/78/5300.html,https://dblp.org/pid/h/JHolub.html;10.1007/3-540-48057-9_8
CIAA;2019;Michael Wehar;https://dblp.org/pid/146/7766.html;Frantisek Mráz, Daniel Prusa, Michael Wehar;Two-Dimensional Pattern Matching Against Basic Picture Languages.;209-221;3;https://dblp.org/pid/146/7766.html,https://dblp.org/pid/38/5599.html,https://dblp.org/pid/50/6664.html;10.1007/978-3-030-23679-3_17
CIAA;2006;Yu-Ru Cheng;https://dblp.org/pid/85/1157.html;Yung-Pin Cheng, Hong-Yi Wang, Yu-Ru Cheng;On-the-Fly Branching Bisimulation Minimization for Compositional Analysis.;219-229;3;https://dblp.org/pid/12/3055.html,https://dblp.org/pid/85/1157.html,https://dblp.org/pid/88/4294.html;10.1007/11812128_21
CIAA;2012;Jean-Marc Champarnaud;https://dblp.org/pid/30/6143.html;Pascal Caron, Jean-Marc Champarnaud, Ludovic Mignot;Multi-Tilde-Bar Derivatives.;321-328;3;https://dblp.org/pid/06/761.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/77/3565.html;10.1007/978-3-642-31606-7_28
CIAA;2010;Jean-Marc Champarnaud;https://dblp.org/pid/30/6143.html;Jean-Marc Champarnaud, Jean-Philippe Dubernard, Hadrien Jeanne;Regular Geometrical Languages and Tiling the Plane.;69-78;3;https://dblp.org/pid/16/2622.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/86/106.html;10.1007/978-3-642-18098-9_8
CIAA;2009;Jean-Marc Champarnaud;https://dblp.org/pid/30/6143.html;Pascal Caron, Jean-Marc Champarnaud, Ludovic Mignot;Small Extended Expressions for Acyclic Automata.;198-207;3;https://dblp.org/pid/06/761.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/77/3565.html;10.1007/978-3-642-02979-0_23
CIAA;2008;Jean-Marc Champarnaud;https://dblp.org/pid/30/6143.html;Jean-Marc Champarnaud, Jean-Philippe Dubernard, Hadrien Jeanne;Testing Whether a Binary and Prolongeable Regular Language LIs Geometrical or Not on the Minimal Deterministic Automaton of Pref(L).;68-77;3;https://dblp.org/pid/16/2622.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/86/106.html;10.1007/978-3-540-70844-5_8
CIAA;2007;Jean-Marc Champarnaud;https://dblp.org/pid/30/6143.html;Jean-Marc Champarnaud, Franck Guingne, Jacques Farré;Reducing Acyclic Cover Transducers.;38-50;3;https://dblp.org/pid/30/6143.html,https://dblp.org/pid/50/6237.html,https://dblp.org/pid/80/61.html;10.1007/978-3-540-76336-9_6
CIAA;2006;Jean-Marc Champarnaud;https://dblp.org/pid/30/6143.html;Florent Nicart, Jean-Marc Champarnaud, Tibor Csáki, Tamás Gaál, André Kempe;Multi-tape Automata with Symbol Classes.;126-136;5;https://dblp.org/pid/04/692.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/61/5622.html,https://dblp.org/pid/63/3208.html,https://dblp.org/pid/73/3270.html;10.1007/11812128_13
CIAA;2005;Jean-Marc Champarnaud;https://dblp.org/pid/30/6143.html;André Kempe, Jean-Marc Champarnaud, Jason Eisner, Franck Guingne, Florent Nicart;A Class of Rational ;188-198;5;https://dblp.org/pid/04/692.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/37/3263.html,https://dblp.org/pid/50/6237.html,https://dblp.org/pid/73/3270.html;10.1007/11605157_16
CIAA;2004;Jean-Marc Champarnaud;https://dblp.org/pid/30/6143.html;Jean-Marc Champarnaud, Fabien Coulon, Thomas Paranthoën;Brute Force Determinization of NFAs by Means of State Covers.;80-89;3;https://dblp.org/pid/09/734.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/79/5612.html;10.1007/978-3-540-30500-2_8
CIAA;2004;Jean-Marc Champarnaud;https://dblp.org/pid/30/6143.html;Jean-Marc Champarnaud, Florent Nicart, Djelloul Ziadi;Computing the Follow Automaton of an Expression.;90-101;3;https://dblp.org/pid/04/692.html,https://dblp.org/pid/30/6143.html,https://dblp.org/pid/83/2086.html;10.1007/978-3-540-30500-2_9
CIAA;2003;Jean-Marc Champarnaud;https://dblp.org/pid/30/6143.html;Jean-Marc Champarnaud, Éric Laugerotte, Faissal Ouardi, Djelloul Ziadi;From Regular Weighted Expressions to Finite Automata.;49-60;4;https://dblp.org/pid/30/6143.html,https://dblp.org/pid/48/3952.html,https://dblp.org/pid/68/4299.html,https://dblp.org/pid/83/2086.html;10.1007/3-540-45089-0_6
