Name;Title;Co-Authors;Pagintation;Published in;LNCS-link;Abstract
Thomas Schwentick;Partially-Ordered Two-Way Automata: A New Characterization of DA.;Denis Thérien, Heribert Vollmer;[<span itemprop="pagination">239-250</span>];[<meta content="2001" itemprop="datePublished"/>]
Denis Thérien;Partially-Ordered Two-Way Automata: A New Characterization of DA.;Thomas Schwentick, Heribert Vollmer;[<span itemprop="pagination">239-250</span>];[<meta content="2001" itemprop="datePublished"/>]
Heribert Vollmer;Partially-Ordered Two-Way Automata: A New Characterization of DA.;Thomas Schwentick, Denis Thérien;[<span itemprop="pagination">239-250</span>];[<meta content="2001" itemprop="datePublished"/>]
Christian Glaßer;Level 5/2 of the Straubing-Thérien Hierarchy for Two-Letter Alphabets.;Heinz Schmitz;[<span itemprop="pagination">251-261</span>];[<meta content="2001" itemprop="datePublished"/>]
Heinz Schmitz;Level 5/2 of the Straubing-Thérien Hierarchy for Two-Letter Alphabets.;Christian Glaßer;[<span itemprop="pagination">251-261</span>];[<meta content="2001" itemprop="datePublished"/>]
Juraj Hromkovic;On the Power of Randomized Pushdown Automata.;Georg Schnitger;[<span itemprop="pagination">262-271</span>];[<meta content="2001" itemprop="datePublished"/>]
Georg Schnitger;On the Power of Randomized Pushdown Automata.;Juraj Hromkovic;[<span itemprop="pagination">262-271</span>];[<meta content="2001" itemprop="datePublished"/>]
Gerhard Lischke;The Root of a Language and Its Complexity.;;[<span itemprop="pagination">272-280</span>];[<meta content="2001" itemprop="datePublished"/>]
Henning Fernau;Valuated and Valence Grammars: An Algebraic View.;Ralf Stiebe;[<span itemprop="pagination">281-292</span>];[<meta content="2001" itemprop="datePublished"/>]
Ralf Stiebe;Valuated and Valence Grammars: An Algebraic View.;Henning Fernau;[<span itemprop="pagination">281-292</span>];[<meta content="2001" itemprop="datePublished"/>]
Hendrik Jan Hoogeboom;Context-Free Valence Grammars - Revisited.;;[<span itemprop="pagination">293-303</span>];[<meta content="2001" itemprop="datePublished"/>]
Vesa Halava;An Undecidability Result Concerning Periodic Morphisms.;Tero Harju;[<span itemprop="pagination">304-310</span>];[<meta content="2001" itemprop="datePublished"/>]
Tero Harju;An Undecidability Result Concerning Periodic Morphisms.;Vesa Halava;[<span itemprop="pagination">304-310</span>];[<meta content="2001" itemprop="datePublished"/>]
Manfred Kudlek;A Universal Turing Machine with 3 States and 9 Symbols.;Yurii Rogozhin;[<span itemprop="pagination">311-318</span>];[<meta content="2001" itemprop="datePublished"/>]
Yurii Rogozhin;A Universal Turing Machine with 3 States and 9 Symbols.;Manfred Kudlek;[<span itemprop="pagination">311-318</span>];[<meta content="2001" itemprop="datePublished"/>]
