Key;Author-Key;Author;Author-URL;Title;Co-Authors;Co-Author-URLs;Pagination;Year;Venue
1736;182;Marco Almeida;https://dblp.uni-trier.de/pid/53/3527.html;FAdo and GUItar.;André Almeida, Marco Almeida, José Alves, Nelma Moreira, Rogério Reis;['https://dblp.uni-trier.de/pid/00/7175.html', 'https://dblp.uni-trier.de/pid/54/7174.html', 'https://dblp.uni-trier.de/pid/n/NelmaMoreira.html', 'https://dblp.uni-trier.de/pid/30/5254.html'];65-74;2009;CIAA
1743;182;Marco Almeida;https://dblp.uni-trier.de/pid/53/3527.html;Antimirov and Mosses's Rewrite System Revisited.;Marco Almeida, Nelma Moreira, Rogério Reis;['https://dblp.uni-trier.de/pid/n/NelmaMoreira.html', 'https://dblp.uni-trier.de/pid/30/5254.html'];46-56;2008;CIAA
1754;478;Matús Palmovský;https://dblp.uni-trier.de/pid/133/6735.html;Kleene Closure on Regular and Prefix-Free Languages.;Galina Jirásková, Matús Palmovský, Juraj Sebej;['https://dblp.uni-trier.de/pid/j/GJiraskova.html', 'https://dblp.uni-trier.de/pid/60/9959.html'];226-237;2014;CIAA
1760;706;Kevin Stier;https://dblp.uni-trier.de/pid/265/9625.html;Ambiguity Hierarchies for Weighted Tree Automata.;Andreas Maletti, Teodora Nasz, Kevin Stier, Markus Ulbricht;['https://dblp.uni-trier.de/pid/48/3591.html', 'https://dblp.uni-trier.de/pid/296/0452.html', 'https://dblp.uni-trier.de/pid/82/11198-1.html'];140-151;2021;CIAA
1807;356;David Liu;https://dblp.uni-trier.de/pid/09/1814.html;Universal Witnesses for State Complexity of Basic Operations Combined with Reversal.;Janusz A. Brzozowski, David Liu;['https://dblp.uni-trier.de/pid/b/JABrzozowski.html'];72-83;2013;CIAA
1889;643;Martin Sulzmann;https://dblp.uni-trier.de/pid/94/756.html;Derivative-Based Diagnosis of Regular Expression Ambiguity.;Martin Sulzmann, Kenny Zhuo Ming Lu;['https://dblp.uni-trier.de/pid/33/5963.html'];260-272;2016;CIAA
1958;213;Egor Dolzhenko;https://dblp.uni-trier.de/pid/16/6072.html;On Complexity of Two Dimensional Languages Generated by Transducers.;Egor Dolzhenko, Natasa Jonoska;['https://dblp.uni-trier.de/pid/j/NatasaJonoska.html'];181-190;2008;CIAA
1998;839;Jan Janousek;https://dblp.uni-trier.de/pid/21/1027.html;Tree Template Matching in Ranked Ordered Trees by Pushdown Automata.;Tomás Flouri, Jan Janousek, Borivoj Melichar, Costas S. Iliopoulos, Solon P. Pissis;['https://dblp.uni-trier.de/pid/01/5035.html', 'https://dblp.uni-trier.de/pid/78/5300.html', 'https://dblp.uni-trier.de/pid/i/CSIliopoulos.html', 'https://dblp.uni-trier.de/pid/89/7966.html'];273-281;2011;CIAA
2037;62;Olga Kouchnarenko;https://dblp.uni-trier.de/pid/95/4315.html;Enhancing Approximations for Regular Reachability Analysis.;Aloïs Dreyfus, Pierre-Cyrille Héam, Olga Kouchnarenko;['https://dblp.uni-trier.de/pid/132/1983.html', 'https://dblp.uni-trier.de/pid/50/1007.html'];331-339;2013;CIAA
2044;62;Olga Kouchnarenko;https://dblp.uni-trier.de/pid/95/4315.html;On Positive TAGED with a Bounded Number of Constraints.;Pierre-Cyrille Héam, Vincent Hugot, Olga Kouchnarenko;['https://dblp.uni-trier.de/pid/50/1007.html', 'https://dblp.uni-trier.de/pid/80/9679.html'];329-336;2012;CIAA
2047;62;Olga Kouchnarenko;https://dblp.uni-trier.de/pid/95/4315.html;Loops and Overloops for Tree Walking Automata.;Pierre-Cyrille Héam, Vincent Hugot, Olga Kouchnarenko;['https://dblp.uni-trier.de/pid/50/1007.html', 'https://dblp.uni-trier.de/pid/80/9679.html'];166-177;2011;CIAA
2056;62;Olga Kouchnarenko;https://dblp.uni-trier.de/pid/95/4315.html;TAGED Approximations for Temporal Properties Model-Checking.;Roméo Courbis, Pierre-Cyrille Héam, Olga Kouchnarenko;['https://dblp.uni-trier.de/pid/29/1213.html', 'https://dblp.uni-trier.de/pid/50/1007.html'];135-144;2009;CIAA
2115;9;José Nuno Oliveira;https://dblp.uni-trier.de/pid/o/JoseNunoOliveira.html;Typed Linear Algebra for Weigthed (Probabilistic) Automata.;José Nuno Oliveira;[];52-65;2012;CIAA
2160;585;Simon Beier;https://dblp.uni-trier.de/pid/185/0479.html;Semi-linear Lattices and Right One-Way Jumping Finite Automata (Extended Abstract).;Simon Beier, Markus Holzer;['https://dblp.uni-trier.de/pid/h/MarkusHolzer1.html'];70-82;2019;CIAA
2169;638;Casey Meijer;https://dblp.uni-trier.de/pid/162/0238.html;Implementation of Code Properties via Transducers.;Stavros Konstantinidis, Casey Meijer, Nelma Moreira, Rogério Reis;['https://dblp.uni-trier.de/pid/k/StavrosKonstantinidis.html', 'https://dblp.uni-trier.de/pid/n/NelmaMoreira.html', 'https://dblp.uni-trier.de/pid/30/5254.html'];189-201;2016;CIAA
2183;792;James Glenn;https://dblp.uni-trier.de/pid/32/6061.html;Implementing WS1S via Finite Automata: Performance Issues.;James Glenn, William I. Gasarch;['https://dblp.uni-trier.de/pid/g/WilliamIGasarch.html'];75-86;1997;Workshop on Implementing Automata
2184;792;James Glenn;https://dblp.uni-trier.de/pid/32/6061.html;Implementing WS1S via Finite Automata.;James Glenn, William I. Gasarch;['https://dblp.uni-trier.de/pid/g/WilliamIGasarch.html'];50-63;1996;Workshop on Implementing Automata
2188;268;Javier Miguel Sastre-Martínez;https://dblp.uni-trier.de/pid/93/7172.html;Efficient Parsing Using Filtered-Popping Recursive Transition Networks.;Javier Miguel Sastre-Martínez;[];241-244;2009;CIAA
2195;287;Lionel Marcé;https://dblp.uni-trier.de/pid/67/3488.html;Proving Sequential Function Chart Programs Using Automata.;Dominique LHer, Philippe Le Parc, Lionel Marcé;['https://dblp.uni-trier.de/pid/44/4585.html', 'https://dblp.uni-trier.de/pid/98/1205.html'];149-163;1998;Workshop on Implementing Automata
2210;454;Alexander Sakharov;https://dblp.uni-trier.de/pid/62/4876.html;One-Counter Automata for Parsing and Language Approximation.;Alexander Sakharov;[];299-311;2018;CIAA
2245;141;Hellis Tamm;https://dblp.uni-trier.de/pid/56/5603.html;Size Reduction of Multitape Automata.;Hellis Tamm, Matti Nykänen, Esko Ukkonen;['https://dblp.uni-trier.de/pid/45/6004.html', 'https://dblp.uni-trier.de/pid/u/EskoUkkonen.html'];307-318;2005;CIAA
2247;141;Hellis Tamm;https://dblp.uni-trier.de/pid/56/5603.html;Size Reduction of Multitape Automata.;Hellis Tamm, Matti Nykänen, Esko Ukkonen;['https://dblp.uni-trier.de/pid/45/6004.html', 'https://dblp.uni-trier.de/pid/u/EskoUkkonen.html'];329-330;2004;CIAA
2249;141;Hellis Tamm;https://dblp.uni-trier.de/pid/56/5603.html;Bideterministic Automata and Minimal Representations of Regular Languages.;Hellis Tamm, Esko Ukkonen;['https://dblp.uni-trier.de/pid/u/EskoUkkonen.html'];61-71;2003;CIAA
2316;511;Farn Wang;https://dblp.uni-trier.de/pid/27/3868.html;Timing Parameter Characterization of Real-Time Systems.;Farn Wang, Hsu-Chun Yen;['https://dblp.uni-trier.de/pid/y/HsuChunYen.html'];23-34;2003;CIAA
2317;511;Farn Wang;https://dblp.uni-trier.de/pid/27/3868.html;TCTL Inevitability Analysis of Dense-Time Systems.;Farn Wang, Geng-Dian Hwang, Fang Yu;['https://dblp.uni-trier.de/pid/81/171.html', 'https://dblp.uni-trier.de/pid/44/3505-1.html'];176-187;2003;CIAA
2367;842;Gordana Pavlovic-Lazetic;https://dblp.uni-trier.de/pid/05/4417.html;Information Extraction from Semi-structured Resources: A Two-Phase Finite State Transducers Approach.;Vesna Pajic, Gordana Pavlovic-Lazetic, Milos Pajic;['https://dblp.uni-trier.de/pid/63/9960.html', 'https://dblp.uni-trier.de/pid/37/9960.html'];282-289;2011;CIAA
2385;19;Zoran Sunic;https://dblp.uni-trier.de/pid/41/6022.html;Cellular Automata on Regular Rooted Trees.;Tullio Ceccherini-Silberstein, Michel Coornaert, Francesca Fiorenzi, Zoran Sunic;['https://dblp.uni-trier.de/pid/47/5900.html', 'https://dblp.uni-trier.de/pid/96/395.html', 'https://dblp.uni-trier.de/pid/43/5101.html'];101-112;2012;CIAA
2394;395;Hyunjoon Cheon;https://dblp.uni-trier.de/pid/228/6835.html;How to Settle the ReDoS Problem: Back to the Classical Automata Theory.;Sicheol Sung, Hyunjoon Cheon, Yo-Sub Han;['https://dblp.uni-trier.de/pid/321/6407.html', 'https://dblp.uni-trier.de/pid/h/YoSubHan.html'];34-49;2022;CIAA
2409;680;Ruben Urizar;https://dblp.uni-trier.de/pid/13/2854.html;Using Finite State Technology in Natural Language Processing of Basque.;Iñaki Alegria, Maxux J. Aranzabe, Nerea Ezeiza, Aitzol Ezeiza, Ruben Urizar;['https://dblp.uni-trier.de/pid/77/2513.html', 'https://dblp.uni-trier.de/pid/22/987.html', 'https://dblp.uni-trier.de/pid/79/3795.html', 'https://dblp.uni-trier.de/pid/51/3734.html'];1-12;2001;CIAA
2415;403;Frank Drewes;https://dblp.uni-trier.de/pid/d/FrankDrewes.html;Hybrid Tree Automata and the Yield Theorem for Constituent Tree Automata.;Frank Drewes, Richard Mörbitz, Heiko Vogler;['https://dblp.uni-trier.de/pid/212/4580.html', 'https://dblp.uni-trier.de/pid/v/HeikoVogler.html'];93-105;2022;CIAA
2434;403;Frank Drewes;https://dblp.uni-trier.de/pid/d/FrankDrewes.html;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.;Johanna Björklund, Frank Drewes, Giorgio Satta;['https://dblp.uni-trier.de/pid/75/5525.html', 'https://dblp.uni-trier.de/pid/69/6644.html'];83-94;2019;CIAA
2439;403;Frank Drewes;https://dblp.uni-trier.de/pid/d/FrankDrewes.html;A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.;Johanna Björklund, Frank Drewes, Anna Jonsson;['https://dblp.uni-trier.de/pid/75/5525.html', 'https://dblp.uni-trier.de/pid/37/2510.html'];97-108;2018;CIAA
2513;403;Frank Drewes;https://dblp.uni-trier.de/pid/d/FrankDrewes.html;Computing Raster Images from Grid Picture Grammars.;Frank Drewes, Sigrid Ewert, Renate Klempien-Hinrichs, Hans-Jörg Kreowski;['https://dblp.uni-trier.de/pid/28/3680.html', 'https://dblp.uni-trier.de/pid/10/624.html', 'https://dblp.uni-trier.de/pid/k/JHKreowski.html'];113-121;2000;CIAA
2514;403;Frank Drewes;https://dblp.uni-trier.de/pid/d/FrankDrewes.html;TREEBAG.;Frank Drewes, Renate Klempien-Hinrichs;['https://dblp.uni-trier.de/pid/10/624.html'];329-330;2000;CIAA
2557;815;Denis Béchet;https://dblp.uni-trier.de/pid/b/DenisBechet.html;Categorial Grammars with Iterated Types form a Strict Hierarchy of k-Valued Languages.;Denis Béchet, Alexander Ja. Dikovsky, Annie Foret;['https://dblp.uni-trier.de/pid/60/452.html', 'https://dblp.uni-trier.de/pid/81/3428.html'];42-52;2011;CIAA
2580;546;Alicja Trusewicz;https://dblp.uni-trier.de/pid/20/118.html;Finite-State Molecular Computing.;Olgierd Unold, Maciej Troc, Tadeusz Dobosz, Alicja Trusewicz;['https://dblp.uni-trier.de/pid/15/3718.html', 'https://dblp.uni-trier.de/pid/49/4233.html', 'https://dblp.uni-trier.de/pid/53/947.html'];309-310;2003;CIAA
2696;116;Tomoyuki Yamakami;https://dblp.uni-trier.de/pid/13/3203.html;An Application of Quantum Finite Automata to Interactive Proof Systems.;Harumichi Nishimura, Tomoyuki Yamakami;['https://dblp.uni-trier.de/pid/02/5630.html'];225-236;2004;CIAA
2736;383;Mohamed Zergaoui;https://dblp.uni-trier.de/pid/79/7504.html;Early Nested Word Automata for XPath Query Answering on XML Streams.;Denis Debarbieux, Olivier Gauwin, Joachim Niehren, Tom Sebastian, Mohamed Zergaoui;['https://dblp.uni-trier.de/pid/80/1808.html', 'https://dblp.uni-trier.de/pid/51/7012.html', 'https://dblp.uni-trier.de/pid/n/JNiehren.html', 'https://dblp.uni-trier.de/pid/09/8910.html'];292-305;2013;CIAA
2781;679;Aitzol Ezeiza;https://dblp.uni-trier.de/pid/51/3734.html;Using Finite State Technology in Natural Language Processing of Basque.;Iñaki Alegria, Maxux J. Aranzabe, Nerea Ezeiza, Aitzol Ezeiza, Ruben Urizar;['https://dblp.uni-trier.de/pid/77/2513.html', 'https://dblp.uni-trier.de/pid/22/987.html', 'https://dblp.uni-trier.de/pid/79/3795.html', 'https://dblp.uni-trier.de/pid/13/2854.html'];1-12;2001;CIAA
2845;229;Nina Yevtushenko;https://dblp.uni-trier.de/pid/33/658.html;Describing Homing and Distinguishing Sequences for Nondeterministic Finite State Machines via Synchronizing Automata.;Natalia Kushik, Nina Yevtushenko;['https://dblp.uni-trier.de/pid/72/9959.html'];188-198;2015;CIAA
2861;229;Nina Yevtushenko;https://dblp.uni-trier.de/pid/33/658.html;On the Length of Homing Sequences for Nondeterministic Finite State Machines.;Natalia Kushik, Nina Yevtushenko;['https://dblp.uni-trier.de/pid/72/9959.html'];220-231;2013;CIAA
2869;229;Nina Yevtushenko;https://dblp.uni-trier.de/pid/33/658.html;Preset and Adaptive Homing Experiments for Nondeterministic Finite State Machines.;Natalia Kushik, Khaled El-Fakih, Nina Yevtushenko;['https://dblp.uni-trier.de/pid/72/9959.html', 'https://dblp.uni-trier.de/pid/83/1062.html'];215-224;2011;CIAA
2880;229;Nina Yevtushenko;https://dblp.uni-trier.de/pid/33/658.html;Progressive Solutions to FSM Equations.;Khaled El-Fakih, Nina Yevtushenko;['https://dblp.uni-trier.de/pid/83/1062.html'];274-282;2008;CIAA
2921;696;Jacobie Mouton;https://dblp.uni-trier.de/pid/296/0334.html;Memoized Regular Expressions.;Brink van der Merwe, Jacobie Mouton, Steyn van Litsenborgh, Martin Berglund;['https://dblp.uni-trier.de/pid/59/6051.html', 'https://dblp.uni-trier.de/pid/292/8936.html', 'https://dblp.uni-trier.de/pid/59/9687.html'];39-52;2021;CIAA
2922;415;Öykü Yilmaz;https://dblp.uni-trier.de/pid/318/2800.html;Energy Complexity of Regular Language Recognition.;Öykü Yilmaz, Firat Kiyak, Meriç Üngör, A. C. Cem Say;['https://dblp.uni-trier.de/pid/61/61.html', 'https://dblp.uni-trier.de/pid/318/2744.html', 'https://dblp.uni-trier.de/pid/11/4210.html'];200-211;2022;CIAA
