Author;Title;Co-Authors;No Authors;Year;Pagination
https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;On Bounded Semilinear Languages, Counter Machines, and Finite-Index ET0L.;['https://dblp.uni-trier.de/pid/85/1477.html'];2;2016;138-149
https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;On the Ambiguity, Finite-Valuedness, and Lossiness Problems in Acceptors and Transducers.;[];1;2014;211-225
https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;Some Decision Problems Concerning NPDAs, Palindromes, and Dyck Languages.;['https://dblp.uni-trier.de/pid/24/3232.html'];2;2013;193-207
https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;How to Synchronize the Heads of a Multitape Automaton.;['https://dblp.uni-trier.de/pid/t/NicholasQTran.html'];2;2012;192-204
https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;On the Containment and Equivalence Problems for GSMs, Transducers, and Linear CFGs.;[];1;2011;190-202
https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;Relational String Verification Using Multi-track Automata.;['https://dblp.uni-trier.de/pid/44/3505-1.html', 'https://dblp.uni-trier.de/pid/07/3368.html'];3;2010;290-299
https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;On Deterministic Catalytic Systems.;['https://dblp.uni-trier.de/pid/y/HsuChunYen.html'];2;2005;163-175
https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;Automata-Theoretic Techniques for Analyzing Infinite-State Systems.;[];1;2004;1
https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;Past Pushdown Timed Automata.;['https://dblp.uni-trier.de/pid/51/5888.html', 'https://dblp.uni-trier.de/pid/07/3368.html', 'https://dblp.uni-trier.de/pid/k/RAKemmerer.html'];4;2001;74-86
https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;Reachability and Safety in Queue Systems.;[];1;2000;145-156
https://dblp.uni-trier.de/pid/i/OscarHIbarra.html;Generalizing the Discrete Timed Automaton.;['https://dblp.uni-trier.de/pid/s/JWSu.html'];2;2000;157-169
https://dblp.uni-trier.de/pid/v/JesusVilares.html;Robust Spelling Correction.;['https://dblp.uni-trier.de/pid/v/MVilaresF.html', 'https://dblp.uni-trier.de/pid/o/JOteroP.html'];3;2005;319-328
https://dblp.uni-trier.de/pid/v/JesusVilares.html;Robust Parsing Using Dynamic Programming.;['https://dblp.uni-trier.de/pid/v/MVilaresF.html', 'https://dblp.uni-trier.de/pid/75/5475.html', 'https://dblp.uni-trier.de/pid/19/892.html'];4;2003;258-268
https://dblp.uni-trier.de/pid/v/JesusVilares.html;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;['https://dblp.uni-trier.de/pid/g/JorgeGranaGil.html', 'https://dblp.uni-trier.de/pid/68/2186.html'];3;2002;128-137
https://dblp.uni-trier.de/pid/53/3527.html;Incremental DFA Minimisation.;['https://dblp.uni-trier.de/pid/n/NelmaMoreira.html', 'https://dblp.uni-trier.de/pid/30/5254.html'];3;2010;39-48
