Author;Title;Co-Authors;No Authors;Year;Pagination
https://dblp.uni-trier.de/pid/70/8932.html;On leftmost #-Rewriting Systems.;['https://dblp.uni-trier.de/pid/97/5115.html'];2;2008;61-72
https://dblp.uni-trier.de/pid/16/2187.html;Descriptional Complexity of Rewriting Tissue P Systems.;['https://dblp.uni-trier.de/pid/82/730.html'];2;2003;150-161
https://dblp.uni-trier.de/pid/97/5115.html;Iterated Uniform Finite-State Transducers: Descriptional Complexity of Nondeterminism and Two-Way Motion.;['https://dblp.uni-trier.de/pid/k/MartinKutrib.html', 'https://dblp.uni-trier.de/pid/58/2201.html', 'https://dblp.uni-trier.de/pid/96/438.html'];4;2020;117-129
https://dblp.uni-trier.de/pid/97/5115.html;Descriptional Complexity of Iterated Uniform Finite-State Transducers.;['https://dblp.uni-trier.de/pid/k/MartinKutrib.html', 'https://dblp.uni-trier.de/pid/58/2201.html', 'https://dblp.uni-trier.de/pid/96/438.html'];4;2019;223-234
https://dblp.uni-trier.de/pid/97/5115.html;A Direct Construction of Finite State Automata for Pushdown Store Languages.;['https://dblp.uni-trier.de/pid/54/3483.html', 'https://dblp.uni-trier.de/pid/58/2201.html', 'https://dblp.uni-trier.de/pid/70/9958.html', 'https://dblp.uni-trier.de/pid/96/438.html'];5;2013;90-101
https://dblp.uni-trier.de/pid/97/5115.html;Queue Automata of Constant Length.;['https://dblp.uni-trier.de/pid/65/8396.html', 'https://dblp.uni-trier.de/pid/70/9958.html', 'https://dblp.uni-trier.de/pid/96/438.html'];4;2013;124-135
https://dblp.uni-trier.de/pid/97/5115.html;Removing Nondeterminism in Constant Height Pushdown Automata.;['https://dblp.uni-trier.de/pid/44/9959.html', 'https://dblp.uni-trier.de/pid/54/3483.html', 'https://dblp.uni-trier.de/pid/96/438.html'];4;2012;76-88
https://dblp.uni-trier.de/pid/97/5115.html;Descriptional Complexity of Pushdown Store Languages.;['https://dblp.uni-trier.de/pid/58/2201.html', 'https://dblp.uni-trier.de/pid/70/9958.html', 'https://dblp.uni-trier.de/pid/96/438.html'];4;2012;209-221
https://dblp.uni-trier.de/pid/97/5115.html;The Size-Cost of Boolean Operations on Constant Height Deterministic Pushdown Automata.;['https://dblp.uni-trier.de/pid/44/9959.html', 'https://dblp.uni-trier.de/pid/54/3483.html', 'https://dblp.uni-trier.de/pid/96/438.html'];4;2011;80-92
https://dblp.uni-trier.de/pid/97/5115.html;Descriptional Complexity of Two-Way Pushdown Automata with Restricted Head Reversals.;['https://dblp.uni-trier.de/pid/58/2201.html', 'https://dblp.uni-trier.de/pid/96/438.html'];3;2011;248-260
https://dblp.uni-trier.de/pid/97/5115.html;On leftmost #-Rewriting Systems.;['https://dblp.uni-trier.de/pid/70/8932.html'];2;2008;61-72
https://dblp.uni-trier.de/pid/97/5115.html;A Regularity Condition for Context-Free Grammars.;[];1;2007;117-128
https://dblp.uni-trier.de/pid/97/5115.html;Quantum Automata for some Multiperiodic Languages.;['https://dblp.uni-trier.de/pid/96/438.html'];2;2006;199-210
https://dblp.uni-trier.de/pid/97/5115.html;Some formal methods for analyzing quantum automata.;['https://dblp.uni-trier.de/pid/91/6093.html', 'https://dblp.uni-trier.de/pid/96/438.html'];3;2005;1-14
https://dblp.uni-trier.de/pid/97/5115.html;On the Succinctness of Deterministic, Nondeterministic, Probabilistic and Quantum Finite Automata.;['https://dblp.uni-trier.de/pid/96/438.html', 'https://dblp.uni-trier.de/pid/87/6893.html'];3;2001;141-148
https://dblp.uni-trier.de/pid/157/6118-1.html;State Complexity of Simple Splicing.;['https://dblp.uni-trier.de/pid/k/LilaKari.html'];2;2019;197-209
https://dblp.uni-trier.de/pid/157/6118-1.html;State Complexity of Suffix Distance.;['https://dblp.uni-trier.de/pid/92/900.html', 'https://dblp.uni-trier.de/pid/02/6009.html'];3;2017;287-298
https://dblp.uni-trier.de/pid/157/6118-1.html;State Complexity of Prefix Distance of Subregular Languages.;['https://dblp.uni-trier.de/pid/92/900.html', 'https://dblp.uni-trier.de/pid/02/6009.html'];3;2016;192-204
https://dblp.uni-trier.de/pid/157/6118-1.html;Quasi-Distances and Weighted Finite Automata.;['https://dblp.uni-trier.de/pid/92/900.html', 'https://dblp.uni-trier.de/pid/02/6009.html'];3;2015;209-219
https://dblp.uni-trier.de/pid/c/CSCalude.html;Finite-State Complexity and the Size of Transducers.;['https://dblp.uni-trier.de/pid/02/6009.html', 'https://dblp.uni-trier.de/pid/58/8397.html'];3;2010;38-47
https://dblp.uni-trier.de/pid/c/CSCalude.html;Incompleteness: A Personal Perspective.;[];1;2008;14-24
https://dblp.uni-trier.de/pid/23/8110.html;Quantum Queries on Permutations.;['https://dblp.uni-trier.de/pid/01/8110.html', 'https://dblp.uni-trier.de/pid/00/9283.html', 'https://dblp.uni-trier.de/pid/64/1580.html'];4;2015;177-184
https://dblp.uni-trier.de/pid/h/LaneAHemaspaandra.html;The Consequences of Eliminating NP Solutions.;['https://dblp.uni-trier.de/pid/58/2379.html'];2;2006;1-15
https://dblp.uni-trier.de/pid/h/LaneAHemaspaandra.html;Advice for Semifeasible Sets and the Complexity-Theoretic Cost(lessness) of Algebraic Properties.;[];1;2004;52-66
https://dblp.uni-trier.de/pid/k/OrnaKupferman.html;Lazy Regular Sensing.;['https://dblp.uni-trier.de/pid/327/1615.html'];2;2022;155-169
https://dblp.uni-trier.de/pid/k/OrnaKupferman.html;Mutually Accepting Capacitated Automata.;['https://dblp.uni-trier.de/pid/278/3584.html'];2;2020;1-12
https://dblp.uni-trier.de/pid/k/OrnaKupferman.html;Sensing as a Complexity Measure.;['https://dblp.uni-trier.de/pid/88/8556.html', 'https://dblp.uni-trier.de/pid/21/8279.html'];3;2017;3-15
https://dblp.uni-trier.de/pid/k/OrnaKupferman.html;A Parametrized Analysis of Algorithms on Hierarchical Graphs.;['https://dblp.uni-trier.de/pid/169/1212.html'];2;2017;114-127
https://dblp.uni-trier.de/pid/33/4668.html;Transition Function Complexity of Finite Automata.;[];1;2011;301-313
https://dblp.uni-trier.de/pid/46/4657.html;Two-way non-deterministic finite automata with a write-once track recognize regular languages only.;[];1;2005;97-109
https://dblp.uni-trier.de/pid/i/LucianIlie.html;Repetition Complexity of Words.;['https://dblp.uni-trier.de/pid/y/ShengYu.html', 'https://dblp.uni-trier.de/pid/89/4269.html'];3;2002;36
https://dblp.uni-trier.de/pid/g/GostaGrahne.html;Parallel Composition of Finite State Activity Automata.;['https://dblp.uni-trier.de/pid/82/9223.html'];2;2006;46-57
https://dblp.uni-trier.de/pid/87/6893.html;Limited Automata: Properties, Complexity and Variants.;[];1;2019;57-73
https://dblp.uni-trier.de/pid/87/6893.html;Pushdown Automata and Constant Height: Decidability and Bounds.;['https://dblp.uni-trier.de/pid/182/9958.html'];2;2019;260-271
https://dblp.uni-trier.de/pid/87/6893.html;Minimal and Reduced Reversible Automata.;['https://dblp.uni-trier.de/pid/31/10763.html', 'https://dblp.uni-trier.de/pid/182/9958.html'];3;2016;168-179
https://dblp.uni-trier.de/pid/87/6893.html;Universal Disjunctive Concatenation and Star.;['https://dblp.uni-trier.de/pid/n/NelmaMoreira.html', 'https://dblp.uni-trier.de/pid/30/5254.html'];3;2015;197-208
https://dblp.uni-trier.de/pid/87/6893.html;Operational State Complexity under Parikh Equivalence.;['https://dblp.uni-trier.de/pid/31/10763.html', 'https://dblp.uni-trier.de/pid/70/1118.html'];3;2014;294-305
https://dblp.uni-trier.de/pid/87/6893.html;Limited Automata and Regular Languages.;['https://dblp.uni-trier.de/pid/131/2454.html'];2;2013;253-264
https://dblp.uni-trier.de/pid/87/6893.html;On Inverse Operations and Their Descriptional Complexity.;['https://dblp.uni-trier.de/pid/70/8932.html', 'https://dblp.uni-trier.de/pid/h/MarkusHolzer1.html', 'https://dblp.uni-trier.de/pid/65/8396.html'];4;2012;89-102
https://dblp.uni-trier.de/pid/87/6893.html;Complementing Unary Nondeterministic Automata.;['https://dblp.uni-trier.de/pid/15/1213.html'];2;2003;174-185
https://dblp.uni-trier.de/pid/87/6893.html;On the Succinctness of Deterministic, Nondeterministic, Probabilistic and Quantum Finite Automata.;['https://dblp.uni-trier.de/pid/96/438.html', 'https://dblp.uni-trier.de/pid/97/5115.html'];3;2001;141-148
https://dblp.uni-trier.de/pid/75/9494.html;State Complexity of Basic Operations on Non-returning Regular Languages.;['https://dblp.uni-trier.de/pid/h/YoSubHan.html', 'https://dblp.uni-trier.de/pid/j/GJiraskova.html'];3;2013;54-65
https://dblp.uni-trier.de/pid/75/9494.html;State Complexity of Subtree-Free Regular Tree Languages.;['https://dblp.uni-trier.de/pid/h/YoSubHan.html', 'https://dblp.uni-trier.de/pid/71/9491.html'];3;2013;66-77
https://dblp.uni-trier.de/pid/75/9494.html;State Complexity of k-Union and k-Intersection for Prefix-Free Regular Languages.;['https://dblp.uni-trier.de/pid/h/YoSubHan.html', 'https://dblp.uni-trier.de/pid/02/6009.html'];3;2013;78-89
https://dblp.uni-trier.de/pid/90/348.html;Leftmost Rewriting Tissue P Systems.;['https://dblp.uni-trier.de/pid/k/KKrithivasan.html'];2;2004;250-259
https://dblp.uni-trier.de/pid/05/2606.html;An Infinite Hierarchy of Language Families Resulting from Stateless Pushdown Automata with Limited Pushdown Alphabets.;['https://dblp.uni-trier.de/pid/53/10482.html', 'https://dblp.uni-trier.de/pid/70/9575.html'];3;2012;236-243
https://dblp.uni-trier.de/pid/05/2606.html;Descriptional Complexity of Three-Nonterminal Scattered Context Grammars: An Improvement.;['https://dblp.uni-trier.de/pid/34/5542.html'];2;2009;183-192
https://dblp.uni-trier.de/pid/05/2606.html;Descriptional Complexity of Generalized Forbidding Grammars.;['https://dblp.uni-trier.de/pid/34/5542.html'];2;2007;170-177
https://dblp.uni-trier.de/pid/05/2606.html;Reduction of Scattered Context Generators of Sentences Preceded by Their Leftmost Parses.;['https://dblp.uni-trier.de/pid/61/3248.html'];2;2007;178-185
https://dblp.uni-trier.de/pid/05/2606.html;Descriptional Complexity of Partially Parallel Grammars.;[];1;2001;15-21
https://dblp.uni-trier.de/pid/50/6664.html;Complexity of Two-Dimensional Rank-Reducing Grammars.;[];1;2020;155-166
https://dblp.uni-trier.de/pid/50/6664.html;Non-recursive Trade-offs between Two-Dimensional Automata and Grammars.;[];1;2014;352-363
https://dblp.uni-trier.de/pid/62/3990.html;Regular Approximations of Non-Regular Languages.;['https://dblp.uni-trier.de/pid/02/6009.html'];2;2006;118-129
https://dblp.uni-trier.de/pid/30/5862.html;A Tentative Approach for the Wadge-Wagner Hierarchy of Regular Tree Languages of Index [0, 2].;['https://dblp.uni-trier.de/pid/163/7390.html'];2;2015;81-92
https://dblp.uni-trier.de/pid/83/2770.html;Recognizing Collapsing Words is co-NP-Complete.;['https://dblp.uni-trier.de/pid/09/906.html'];2;2006;106-117
https://dblp.uni-trier.de/pid/163/7390.html;A Tentative Approach for the Wadge-Wagner Hierarchy of Regular Tree Languages of Index [0, 2].;['https://dblp.uni-trier.de/pid/30/5862.html'];2;2015;81-92
https://dblp.uni-trier.de/pid/81/252.html;3-Party Message Complexity is Better than 2-Party Ones for Proving Lower Bounds on the Size of Minimal Nondeterministic Finite Automata.;[];1;2001;23-34
https://dblp.uni-trier.de/pid/10/10715.html;Palindromic Length of Words with Many Periodic Palindromes.;[];1;2020;167-179
https://dblp.uni-trier.de/pid/70/9958.html;A Direct Construction of Finite State Automata for Pushdown Store Languages.;['https://dblp.uni-trier.de/pid/54/3483.html', 'https://dblp.uni-trier.de/pid/58/2201.html', 'https://dblp.uni-trier.de/pid/96/438.html', 'https://dblp.uni-trier.de/pid/97/5115.html'];5;2013;90-101
https://dblp.uni-trier.de/pid/70/9958.html;Queue Automata of Constant Length.;['https://dblp.uni-trier.de/pid/65/8396.html', 'https://dblp.uni-trier.de/pid/96/438.html', 'https://dblp.uni-trier.de/pid/97/5115.html'];4;2013;124-135
https://dblp.uni-trier.de/pid/70/9958.html;Descriptional Complexity of Pushdown Store Languages.;['https://dblp.uni-trier.de/pid/58/2201.html', 'https://dblp.uni-trier.de/pid/96/438.html', 'https://dblp.uni-trier.de/pid/97/5115.html'];4;2012;209-221
https://dblp.uni-trier.de/pid/45/3503.html;Non-Uniqueness and Radius of Cyclic Unary NFAs.;['https://dblp.uni-trier.de/pid/30/3872.html', 'https://dblp.uni-trier.de/pid/16/230.html', 'https://dblp.uni-trier.de/pid/s/JeffreyShallit.html'];4;2004;178-190
https://dblp.uni-trier.de/pid/45/3503.html;Regular Expressions: New Results and Open Problems.;['https://dblp.uni-trier.de/pid/16/230.html', 'https://dblp.uni-trier.de/pid/s/JeffreyShallit.html'];3;2002;17-34
https://dblp.uni-trier.de/pid/37/153.html;On the Shuffle Automaton Size for Words.;['https://dblp.uni-trier.de/pid/d/MarkDaley.html', 'https://dblp.uni-trier.de/pid/85/1477.html'];3;2009;79-89
https://dblp.uni-trier.de/pid/37/153.html;On the Synchronized Derivation Depth of Context-Free Grammars.;['https://dblp.uni-trier.de/pid/02/6009.html'];2;2008;73-84
https://dblp.uni-trier.de/pid/37/153.html;Regulated RNA rewriting: modelling RNA editing with guided insertion.;['https://dblp.uni-trier.de/pid/82/2927.html', 'https://dblp.uni-trier.de/pid/d/MarkDaley.html'];3;2006;70-81
https://dblp.uni-trier.de/pid/37/153.html;An Infinite Hierarchy Induced by Depth Synchronization.;['https://dblp.uni-trier.de/pid/85/1477.html', 'https://dblp.uni-trier.de/pid/02/6009.html'];3;2006;82-93
https://dblp.uni-trier.de/pid/37/153.html;Synchronization Functions of Synchronized Context-Free Grammars and Languages.;[];1;2005;236-244
https://dblp.uni-trier.de/pid/82/4618.html;Improved Constructions for Succinct Affine Automata.;[];1;2021;188-199
https://dblp.uni-trier.de/pid/82/4618.html;Error-Free Affine, Unitary, and Probabilistic OBDDs.;['https://dblp.uni-trier.de/pid/198/1000.html', 'https://dblp.uni-trier.de/pid/148/1881.html', 'https://dblp.uni-trier.de/pid/142/3012.html'];4;2018;175-187
https://dblp.uni-trier.de/pid/82/4618.html;Uncountable Realtime Probabilistic Classes.;['https://dblp.uni-trier.de/pid/157/1091.html'];2;2017;102-113
https://dblp.uni-trier.de/pid/82/4618.html;Very Narrow Quantum OBDDs and Width Hierarchies for Classical OBDDs.;['https://dblp.uni-trier.de/pid/78/6502.html', 'https://dblp.uni-trier.de/pid/67/6378.html', 'https://dblp.uni-trier.de/pid/148/1881.html'];4;2014;53-64
https://dblp.uni-trier.de/pid/82/4618.html;Classical Automata on Promise Problems.;['https://dblp.uni-trier.de/pid/54/3483.html'];2;2014;126-137
https://dblp.uni-trier.de/pid/r/KlausReinhardt.html;Refining the Nonterminal Complexity of Graph-controlled Grammars.;['https://dblp.uni-trier.de/pid/f/HenningFernau.html', 'https://dblp.uni-trier.de/pid/84/472.html', 'https://dblp.uni-trier.de/pid/97/5256.html'];4;2005;110-121
https://dblp.uni-trier.de/pid/56/5603.html;Yet Another Canonical Nondeterministic Automaton.;['https://dblp.uni-trier.de/pid/199/2222.html'];2;2022;184-196
https://dblp.uni-trier.de/pid/56/5603.html;Generalization of the Double-Reversal Method of Finding a Canonical Residual Finite State Automaton.;[];1;2015;268-279
https://dblp.uni-trier.de/pid/56/5603.html;Minimal DFA for Symmetric Difference NFA.;['https://dblp.uni-trier.de/pid/59/6051.html', 'https://dblp.uni-trier.de/pid/02/4801.html'];3;2012;307-318
https://dblp.uni-trier.de/pid/95/10306.html;Measuring privacy loss in statistical databases.;['https://dblp.uni-trier.de/pid/l/LLongpre.html'];2;2006;16-25
https://dblp.uni-trier.de/pid/21/8279.html;Sensing as a Complexity Measure.;['https://dblp.uni-trier.de/pid/88/8556.html', 'https://dblp.uni-trier.de/pid/k/OrnaKupferman.html'];3;2017;3-15
https://dblp.uni-trier.de/pid/92/1411.html;Language Classes Generated by Tree Controlled Grammars with Bounded Nonterminal Complexity.;['https://dblp.uni-trier.de/pid/20/5646.html', 'https://dblp.uni-trier.de/pid/d/JDassow.html'];3;2011;289-300
https://dblp.uni-trier.de/pid/10/4683.html;Remembering Chandra Kintala.;['https://dblp.uni-trier.de/pid/58/2201.html', 'https://dblp.uni-trier.de/pid/35/5696.html'];3;2010;15-26
https://dblp.uni-trier.de/pid/10/4683.html;Succinct Representations of Languages by DFA With Different Levels of Reliability.;['https://dblp.uni-trier.de/pid/44/40.html'];2;2003;126-137
https://dblp.uni-trier.de/pid/10/4683.html;On Possible Extensions and Relationships Between Software Reliability, Software Metrics and Descriptional Complexity.;[];1;2002;37-39
https://dblp.uni-trier.de/pid/00/9283.html;Quantum Queries on Permutations.;['https://dblp.uni-trier.de/pid/01/8110.html', 'https://dblp.uni-trier.de/pid/23/8110.html', 'https://dblp.uni-trier.de/pid/64/1580.html'];4;2015;177-184
https://dblp.uni-trier.de/pid/96/438.html;Iterated Uniform Finite-State Transducers: Descriptional Complexity of Nondeterminism and Two-Way Motion.;['https://dblp.uni-trier.de/pid/k/MartinKutrib.html', 'https://dblp.uni-trier.de/pid/58/2201.html', 'https://dblp.uni-trier.de/pid/97/5115.html'];4;2020;117-129
https://dblp.uni-trier.de/pid/96/438.html;Descriptional Complexity of Iterated Uniform Finite-State Transducers.;['https://dblp.uni-trier.de/pid/k/MartinKutrib.html', 'https://dblp.uni-trier.de/pid/58/2201.html', 'https://dblp.uni-trier.de/pid/97/5115.html'];4;2019;223-234
